id,key,name,type,severity,description,detectPatternsJson,rewriteSuggestion,promptInstruction,autoRewrite,enabled,globalBaselineEnabled,createdAt,updatedAt
cmr06ghdh000ar46zp5jzpmin,forbid-explicit-psychology,禁止解释型心理描写,forbidden,high,禁止直接使用“他感到”“他意识到”等句式解释人物心理。,"[""他感到"",""她感到"",""他意识到"",""她意识到"",""他明白了"",""她明白了""]",把心理解释改成动作、语气、停顿、环境反应或结果。,禁止直接解释人物心理，人物状态必须通过行为、动作、语气或环境反应体现。,1,1,1,2026-06-30T04:59:39.891+00:00,2026-06-30T04:59:39.891+00:00
cmr06ghdq000br46z95ai24kk,forbid-ending-elevation,禁止段尾升华,forbidden,high,禁止在段尾或收尾处用总结句升华主题。,"[""生活就是"",""命运总会"",""归根结底"",""说到底"",""这就是""]",删除升华句，回到具体动作、现场或悬而未决的处境。,禁止段尾升华或总结主题，收尾必须落回具体情境。,1,1,1,2026-06-30T04:59:39.902+00:00,2026-06-30T04:59:39.902+00:00
cmr06ghdv000cr46z8r0vqnwx,forbid-theme-summary,禁止总结主题,forbidden,high,禁止把段落写成总结中心思想或提炼人生道理。,"[""这说明"",""这意味着"",""归根结底"",""其实就是""]",删掉主题总结，让信息通过事件和结果自然显现。,不要总结主题，不要替读者提炼中心思想。,1,1,1,2026-06-30T04:59:39.907+00:00,2026-06-30T04:59:39.907+00:00
cmr06ghe2000dr46z6xowmbjw,forbid-direct-preaching,禁止直接说教,forbidden,medium,禁止作者替角色或读者做直接价值判断和说教。,"[""我们都应该"",""人总要学会"",""真正重要的是""]",改成角色具体处境或对话，不做抽象说教。,禁止直接说教或价值判断，让意义落在事件本身。,1,1,1,2026-06-30T04:59:39.913+00:00,2026-06-30T04:59:39.913+00:00
cmr06ghe8000er46ziku5i3e1,risk-even-paragraph-length,段落长度过于整齐,risk,medium,段落长度和节奏过于平均，容易产生 AI 作文感。,"[""段落整齐"",""节奏平均""]",打破段落长度均衡，让句子和段落有自然起伏。,注意避免每段都过于工整、平均和像标准作文。,0,1,1,2026-06-30T04:59:39.920+00:00,2026-06-30T04:59:39.920+00:00
cmr06ghep000fr46zyf0wuyez,risk-three-paragraphs-exposition,连续三段解释性叙事,risk,high,连续几段只有解释没有动作，会削弱现场感。,"[""连续解释"",""没有动作""]",插入动作、对话、环境反馈，减少连段说明。,注意避免连续几段只有解释没有动作或对话。,0,1,1,2026-06-30T04:59:39.937+00:00,2026-06-30T04:59:39.937+00:00
cmr06ghev000gr46zcy1vawsu,risk-dialogue-too-functional,对话纯功能推进,risk,medium,对话只有信息推进，没有人物语气和生活噪音。,"[""告诉你"",""我们现在要"",""接下来就""]",补入停顿、绕弯、语气差异和无效信息。,对话不要只承担推进剧情功能，要保留人物语气和生活噪音。,0,1,1,2026-06-30T04:59:39.943+00:00,2026-06-30T04:59:39.943+00:00
cmr06ghf0000hr46zux7787u3,risk-repeated-sentence-structure,句式重复率过高,risk,medium,连续句式过于整齐，容易显得机械。,"[""首先"",""然后"",""接着"",""最后""]",拉开句式长度和起句方式，打散结构。,警惕连续句式重复和排比化表达。,0,1,1,2026-06-30T04:59:39.948+00:00,2026-06-30T04:59:39.948+00:00
cmr06ghf6000ir46z8jp6eixk,encourage-useless-action,鼓励无意义小动作,encourage,low,鼓励加入真实但不推动主线的小动作增强人味。,[],补入挠头、点烟、抠包装、挪椅子等小动作。,优先加入真实但不推动主线的小动作，增加生活感。,0,1,0,2026-06-30T04:59:39.954+00:00,2026-06-30T04:59:39.954+00:00
cmr06ghfc000jr46zu41j1uay,encourage-reality-gap,鼓励现实落差,encourage,low,让人物预期和现实结果之间出现落差。,[],补出人物预期与实际结果之间的差距。,优先制造现实落差，让人物预期和结果不完全一致。,0,1,0,2026-06-30T04:59:39.960+00:00,2026-06-30T04:59:39.960+00:00
cmr06ghfh000kr46zpdof51nf,encourage-hard-mouth-compensation,鼓励嘴硬补偿,encourage,low,人物吃瘪后用嘴硬、转移或找补来维持体面。,[],给角色补一句嘴硬找补或自我合理化。,人物吃瘪后可用嘴硬、转移或找补来补偿体面。,0,1,0,2026-06-30T04:59:39.965+00:00,2026-06-30T04:59:39.965+00:00
cmr06ghft000lr46zlk020lrl,encourage-life-noise,鼓励生活噪音,encourage,low,适当加入与主线不完全相关的生活噪音增加现场感。,[],补入环境声、杂音、小打断或生活性信息。,适当保留生活噪音和无效信息，增强现场感。,0,1,0,2026-06-30T04:59:39.977+00:00,2026-06-30T04:59:39.977+00:00
