id,name,description,template,parentId,createdAt,updatedAt
genre_fantasy_root,奇幻,包含东方玄幻、西方魔幻等奇幻类型。,突出世界观设定与成长线冲突。,,2026-06-30T04:59:39.458+00:00,2026-06-30T04:59:39.458+00:00
genre_fantasy_eastern,东方玄幻,修炼体系、宗门势力与家国叙事并重。,强调境界突破与势力博弈。,genre_fantasy_root,2026-06-30T04:59:39.467+00:00,2026-06-30T04:59:39.467+00:00
genre_fantasy_western,西方魔幻,骑士、法师、神话生物等经典元素。,强调冒险任务与史诗冲突。,genre_fantasy_root,2026-06-30T04:59:39.473+00:00,2026-06-30T04:59:39.473+00:00
genre_fantasy_xianxia,仙侠修真,以修真体系、道统因果、飞升长生为核心母题。,强调修行路径、因果代价与宗门/仙途抉择。,genre_fantasy_root,2026-06-30T04:59:39.478+00:00,2026-06-30T04:59:39.478+00:00
genre_fantasy_high_martial,高武幻想,高强度力量体系、战斗成长和世界阶层跃迁并重。,强调力量升级、战斗压制与秩序层级突破。,genre_fantasy_root,2026-06-30T04:59:39.483+00:00,2026-06-30T04:59:39.483+00:00
genre_urban_root,都市,以现代城市为主要舞台，强调现实冲突与人物关系。,突出节奏感与生活化细节。,,2026-06-30T04:59:39.489+00:00,2026-06-30T04:59:39.489+00:00
genre_urban_superpower,都市异能,现代都市框架下叠加超常能力、隐秘规则或特殊职业。,强调现实秩序与异能设定碰撞后的反差感和升级空间。,genre_urban_root,2026-06-30T04:59:39.493+00:00,2026-06-30T04:59:39.493+00:00
genre_urban_workplace,都市职场,围绕职业成长、组织关系与现实利益推进剧情。,强调项目压力、职场博弈和能力兑现。,genre_urban_root,2026-06-30T04:59:39.498+00:00,2026-06-30T04:59:39.498+00:00
genre_urban_life,都市生活,以现实生活、邻里关系、家庭与日常经营为主要舞台。,强调生活感、细碎推进与持续回暖或积累。,genre_urban_root,2026-06-30T04:59:39.504+00:00,2026-06-30T04:59:39.504+00:00
genre_history_root,历史,以古代或历史类社会结构为舞台，强调时代约束与局势变化。,突出时代氛围、身份阶层与大势推进。,,2026-06-30T04:59:39.509+00:00,2026-06-30T04:59:39.509+00:00
genre_history_alt,历史架空,借用历史质感与制度逻辑，但允许重构关键势力和事件走向。,强调时代氛围、制度博弈与命运改写。,genre_history_root,2026-06-30T04:59:39.514+00:00,2026-06-30T04:59:39.514+00:00
genre_history_power,朝堂权谋,围绕朝局、派系、官场生存与政治选择展开。,强调派系博弈、局势反转与代价明确的权力选择。,genre_history_root,2026-06-30T04:59:39.519+00:00,2026-06-30T04:59:39.519+00:00
genre_history_war,王朝争霸,围绕势力扩张、战争推进和大格局重组持续展开。,强调征伐节奏、资源调度与版图变化。,genre_history_root,2026-06-30T04:59:39.524+00:00,2026-06-30T04:59:39.524+00:00
genre_scifi_root,科幻,以科技变革、未来秩序、宇宙探索或末世生存为核心驱动力。,突出技术设定、未来规则与生存代价。,,2026-06-30T04:59:39.529+00:00,2026-06-30T04:59:39.529+00:00
