id,novelId,resourceKey,name,summary,resourceType,narrativeFunction,ownerType,ownerId,ownerName,ownerCharacterId,holderCharacterId,holderCharacterName,status,readerKnows,holderKnows,knownByCharacterIdsJson,introducedChapterId,introducedChapterOrder,lastTouchedChapterId,lastTouchedChapterOrder,expectedUseStartChapterOrder,expectedUseEndChapterOrder,constraintsJson,riskSignalsJson,sourceRefsJson,evidenceJson,confidence,createdAt,updatedAt
cmr26ff0r04etv16ztaqtz0eh,cmr23pgks000fv16zpwg1ms38,暗号库备忘录:cmr23zj4j004tv16zlc1ewt6u,暗号库备忘录,阿条撕下笔记本上暗语规则纸页，并在手机备忘录中删除暗语说明，改写为“不再需要”，废弃两人间的秘密沟通系统。,clue,constraint,character,cmr23zj4j004tv16zlc1ewt6u,阿条,cmr23zj4j004tv16zlc1ewt6u,cmr23zj4j004tv16zlc1ewt6u,阿条,stale,1,1,"[""cmr23zj4j004tv16zlc1ewt6u""]",cmr24zob701rjv16zoa3pmbkg,3,cmr252pei0212v16zr43naa61,39,,,[],[],"[{""kind"":""chapter_content"",""refId"":""cmr252pei0212v16zr43naa61"",""refLabel"":""第39章"",""chapterId"":""cmr252pei0212v16zr43naa61"",""chapterOrder"":39}]","[{""summary"":""阿条撕下工作笔记中有折角的一页，对折放在茶几边缘；随后在手机备忘录中改写内容。"",""chapterId"":""cmr252pei0212v16zr43naa61"",""chapterOrder"":39}]",0.95,2026-07-01T14:34:22.539+00:00,2026-07-06T02:24:19.430+00:00
cmr26ffvv04fyv16zkvk68rwy,cmr23pgks000fv16zpwg1ms38,草莓糖纸:cmr23zj4j004tv16zlc1ewt6u,草莓糖纸,阿条将草莓糖纸与其他信物一起装入信封收起，不再作为秘密关系信物，标记为陈旧。,physical_item,constraint,character,cmr23zj4j004tv16zlc1ewt6u,阿条,cmr23zj4j004tv16zlc1ewt6u,cmr23zj4j004tv16zlc1ewt6u,阿条,stale,1,1,"[""cmr23zj4j004tv16zlc1ewt6u""]",cmr24zob701rjv16zoa3pmbkg,3,cmr24zod001scv16zh2hhfj2q,32,,,[],[],"[{""kind"":""chapter_content"",""refId"":""cmr24zod001scv16zh2hhfj2q"",""refLabel"":""第32章"",""chapterId"":""cmr24zod001scv16zh2hhfj2q"",""chapterOrder"":32}]","[{""summary"":""她把抽屉拉到底，拿出一个牛皮纸信封，把所有东西都装了进去，包括糖纸。"",""chapterId"":""cmr24zod001scv16zh2hhfj2q"",""chapterOrder"":32}]",0.9,2026-07-01T14:34:23.659+00:00,2026-07-02T07:18:14.848+00:00
cmr28l0mh059ev16zy7xuj8p6,cmr23pgks000fv16zpwg1ms38,陈默的告诫:cmr23zj4j004tv16zlc1ewt6u,陈默的告诫,陈默离职前告诫阿条和阿力“别搞办公室这套”，成为两人心照不宣的内心约束。,hidden_card,constraint,character,cmr23zj4j004tv16zlc1ewt6u,阿条,cmr23zj4j004tv16zlc1ewt6u,cmr23zj4j004tv16zlc1ewt6u,阿条,available,1,1,"[""cmr23zj4j004tv16zlc1ewt6u"",""cmr23zj4y004uv16zh1dm72nm""]",cmr24zoaz01rhv16zmcjv20hl,1,cmr24zoaz01rhv16zmcjv20hl,1,,,"[""陈默是前同事朋友，告诫内容不能更改或忘记""]",[],"[{""kind"":""chapter_content"",""refId"":""cmr24zoaz01rhv16zmcjv20hl"",""refLabel"":""第1章"",""chapterId"":""cmr24zoaz01rhv16zmcjv20hl"",""chapterOrder"":1}]","[{""summary"":""阿条内心回想：‘陈默走的时候怎么说的，他让我们别搞办公室这套。’"",""chapterId"":""cmr24zoaz01rhv16zmcjv20hl"",""chapterOrder"":1}]",0.9,2026-07-01T15:34:43.049+00:00,2026-07-01T15:34:43.040+00:00
cmr33awby0be3v16zzkseh03n,cmr23pgks000fv16zpwg1ms38,红绳银坠子手链:cmr23zj4j004tv16zlc1ewt6u,红绳银坠子手链,阿条不再佩戴红绳手链，象征情感牵绊解除。,physical_item,constraint,character,cmr23zj4j004tv16zlc1ewt6u,阿条,cmr23zj4j004tv16zlc1ewt6u,cmr23zj4j004tv16zlc1ewt6u,阿条,stale,1,1,"[""cmr23zj4j004tv16zlc1ewt6u""]",cmr24zocf01s1v16zorowoe4i,21,cmr24zocy01sbv16zja8tq08e,31,,,"[""不在后续章节中作为仍在佩戴的线索使用。""]",[],"[{""kind"":""chapter_content"",""refId"":""cmr24zocy01sbv16zja8tq08e"",""refLabel"":""第31章"",""chapterId"":""cmr24zocy01sbv16zja8tq08e"",""chapterOrder"":31}]","[{""summary"":""她低头看手腕只见一圈印子，说明当天未佩戴。"",""chapterId"":""cmr24zocy01sbv16zja8tq08e"",""chapterOrder"":31}]",0.9,2026-07-02T05:54:39.021+00:00,2026-07-02T07:08:48.720+00:00
cmr33lp2t0bh8v16zc062rarf,cmr23pgks000fv16zpwg1ms38,若若调查记录:cmr23zj4j004tv16zlc1ewt6u,若若调查记录,阿条在备忘录中记录若若消息时间与内容，并保存手机号归属地与微信搜索结果。,clue,proof,character,cmr23zj4j004tv16zlc1ewt6u,阿条,cmr23zj4j004tv16zlc1ewt6u,cmr23zj4j004tv16zlc1ewt6u,阿条,available,1,1,"[""cmr23zj4j004tv16zlc1ewt6u""]",cmr24zoch01s2v16zud5yqsvh,22,cmr24zoch01s2v16zud5yqsvh,22,,,"[""仅包含已看到的部分内容，不能直接揭示若若完整身份。""]",[],"[{""kind"":""chapter_content"",""refId"":""cmr24zoch01s2v16zud5yqsvh"",""refLabel"":""第22章"",""chapterId"":""cmr24zoch01s2v16zud5yqsvh"",""chapterOrder"":22}]","[{""summary"":""阿条在备忘录打字记录，截图保存归属地查询结果。"",""chapterId"":""cmr24zoch01s2v16zud5yqsvh"",""chapterOrder"":22}]",0.9,2026-07-02T06:03:02.837+00:00,2026-07-02T06:03:02.832+00:00
cmr33u1wd0bjmv16znzkaikwn,cmr23pgks000fv16zpwg1ms38,团建安排表_手写号码页:cmr23zj4j004tv16zlc1ewt6u,团建安排表（手写号码页）,阿条保存有阿力手写号码的团建安排表，作为笔迹证据。,clue,proof,character,cmr23zj4j004tv16zlc1ewt6u,阿条,cmr23zj4j004tv16zlc1ewt6u,cmr23zj4j004tv16zlc1ewt6u,阿条,available,1,1,"[""cmr23zj4j004tv16zlc1ewt6u""]",cmr24zocj01s3v16zyc692fv8,23,cmr24zocj01s3v16zyc692fv8,23,,,"[""仅证明号码是他所写，不能直接证明与若若关系""]",[],"[{""kind"":""chapter_content"",""refId"":""cmr24zocj01s3v16zyc692fv8"",""refLabel"":""第23章"",""chapterId"":""cmr24zocj01s3v16zyc692fv8"",""chapterOrder"":23}]","[{""summary"":""安排表上黑色水笔手写号码，笔迹特征与阿力相符，阿条圈出。"",""chapterId"":""cmr24zocj01s3v16zyc692fv8"",""chapterOrder"":23}]",0.95,2026-07-02T06:09:32.701+00:00,2026-07-02T06:09:32.695+00:00
cmr33u1wp0bjpv16zchjdm8wp,cmr23pgks000fv16zpwg1ms38,空白联系人_阿力号码:cmr23zj4j004tv16zlc1ewt6u,空白联系人（阿力号码）,阿条在手机通讯录中新建联系人，仅存入阿力手机号，姓名为空，作为证据。,clue,proof,character,cmr23zj4j004tv16zlc1ewt6u,阿条,cmr23zj4j004tv16zlc1ewt6u,cmr23zj4j004tv16zlc1ewt6u,阿条,available,1,1,"[""cmr23zj4j004tv16zlc1ewt6u"",""cmr23zj4y004uv16zh1dm72nm""]",cmr24zocj01s3v16zyc692fv8,23,cmr24zocj01s3v16zyc692fv8,23,,,[],[],"[{""kind"":""chapter_content"",""refId"":""cmr24zocj01s3v16zyc692fv8"",""refLabel"":""第23章"",""chapterId"":""cmr24zocj01s3v16zyc692fv8"",""chapterOrder"":23}]","[{""summary"":""阿条当着阿力面输入号码并展示。"",""chapterId"":""cmr24zocj01s3v16zyc692fv8"",""chapterOrder"":23}]",0.95,2026-07-02T06:09:32.713+00:00,2026-07-02T06:09:32.710+00:00
cmr33u1x00bjsv16z3fyzw76c,cmr23pgks000fv16zpwg1ms38,若若调查记录_更新:cmr23zj4j004tv16zlc1ewt6u,若若调查记录（更新）,阿条在备忘录中新增“是他写的”，确认阿力笔迹。,clue,proof,character,cmr23zj4j004tv16zlc1ewt6u,阿条,cmr23zj4j004tv16zlc1ewt6u,cmr23zj4j004tv16zlc1ewt6u,阿条,available,1,1,"[""cmr23zj4j004tv16zlc1ewt6u""]",cmr24zocj01s3v16zyc692fv8,23,cmr24zocj01s3v16zyc692fv8,23,,,[],[],"[{""kind"":""chapter_content"",""refId"":""cmr24zocj01s3v16zyc692fv8"",""refLabel"":""第23章"",""chapterId"":""cmr24zocj01s3v16zyc692fv8"",""chapterOrder"":23}]","[{""summary"":""她删掉草稿后重新输入“是他写的”"",""chapterId"":""cmr24zocj01s3v16zyc692fv8"",""chapterOrder"":23}]",0.9,2026-07-02T06:09:32.724+00:00,2026-07-02T06:09:32.721+00:00
cmr36aek20c7iv16zuqvjlm5f,cmr23pgks000fv16zpwg1ms38,粉色笑脸弹簧发夹:cmr23zj4j004tv16zlc1ewt6u,粉色笑脸弹簧发夹,发夹被放入抽屉，不再用于伪装情绪或情感牵绊，标记为陈旧。,physical_item,constraint,character,cmr23zj4j004tv16zlc1ewt6u,阿条,cmr23zj4j004tv16zlc1ewt6u,cmr23zj4j004tv16zlc1ewt6u,阿条,stale,1,1,"[""cmr23zj4j004tv16zlc1ewt6u""]",cmr24zod001scv16zh2hhfj2q,32,cmr24zod201sdv16zyjm3gz4z,33,,,[],[],"[{""kind"":""chapter_content"",""refId"":""cmr24zod201sdv16zyjm3gz4z"",""refLabel"":""第33章"",""chapterId"":""cmr24zod201sdv16zyjm3gz4z"",""chapterOrder"":33}]","[{""summary"":""阿条把发夹拿起来，拉开床头柜最下面的抽屉，放了进去。"",""chapterId"":""cmr24zod201sdv16zyjm3gz4z"",""chapterOrder"":33}]",0.95,2026-07-02T07:18:14.834+00:00,2026-07-02T07:22:57.385+00:00
cmr36aekb0c7lv16zk8a9y99p,cmr23pgks000fv16zpwg1ms38,撒谎微信截图证据:cmr23zj4j004tv16zlc1ewt6u,撒谎微信截图证据,阿条保存的上周四16:07阿力声称加班的微信截图，作为其说谎的直接证据。,clue,proof,character,cmr23zj4j004tv16zlc1ewt6u,阿条,cmr23zj4j004tv16zlc1ewt6u,cmr23zj4j004tv16zlc1ewt6u,阿条,available,1,1,"[""cmr23zj4j004tv16zlc1ewt6u"",""cmr23zj4y004uv16zh1dm72nm""]",cmr24zod001scv16zh2hhfj2q,32,cmr24zod001scv16zh2hhfj2q,32,,,[],[],"[{""kind"":""chapter_content"",""refId"":""cmr24zod001scv16zh2hhfj2q"",""refLabel"":""第32章"",""chapterId"":""cmr24zod001scv16zh2hhfj2q"",""chapterOrder"":32}]","[{""summary"":""阿条滑开相册，翻到截图，把手机举到他眼前，指尖点在时间戳上。"",""chapterId"":""cmr24zod001scv16zh2hhfj2q"",""chapterOrder"":32}]",0.95,2026-07-02T07:18:14.843+00:00,2026-07-02T07:18:14.840+00:00
