id,runId,taskId,novelId,idempotencyKey,nodeKey,label,status,targetType,targetId,startedAt,finishedAt,error,producedArtifactsJson,policyDecisionJson,createdAt,updatedAt
cmr22hc8y0002v16zk7vyyhng,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,,cmr22h99w0000v16zwanj1p5t:candidate_generation:global:global,candidate_generation,生成书级候选,succeeded,global,,2026-07-01T12:43:53.771+00:00,2026-07-01T12:46:02.568+00:00,,[],,2026-07-01T12:43:53.794+00:00,2026-07-01T12:46:02.581+00:00
cmr234kh20009v16zbyn6i19z,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,,cmr22h99w0000v16zwanj1p5t:candidate_title_refine:global:global,candidate_title_refine,优化候选书名,succeeded,global,,2026-07-01T13:01:57.533+00:00,2026-07-01T13:02:38.466+00:00,,[],,2026-07-01T13:01:57.542+00:00,2026-07-01T13:02:38.476+00:00
cmr23pgj5000ev16zbqr037k1,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr23pgks000fv16zpwg1ms38,cmr22h99w0000v16zwanj1p5t:novel_create:global:cmr22h99w0000v16zwanj1p5t,novel_create,创建小说项目,succeeded,global,cmr22h99w0000v16zwanj1p5t,2026-07-01T13:18:12.196+00:00,2026-07-01T13:18:12.511+00:00,,[],,2026-07-01T13:18:12.209+00:00,2026-07-01T13:18:12.524+00:00
cmr23pgtq000kv16zcq51dinm,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr23pgks000fv16zpwg1ms38,cmr22h99w0000v16zwanj1p5t:story_macro.book_contract:global:global,story_macro.book_contract,正在准备 Book Contract 与故事宏观规划,running,global,,2026-07-01T13:18:12.581+00:00,,,,,2026-07-01T13:18:12.590+00:00,2026-07-01T14:14:27.180+00:00
cmr23ph7c000nv16zyabk7a2g,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr23pgks000fv16zpwg1ms38,cmr22h99w0000v16zwanj1p5t:story_macro_phase:novel:cmr23pgks000fv16zpwg1ms38,story_macro_phase,生成故事宏观规划,succeeded,novel,cmr23pgks000fv16zpwg1ms38,2026-07-01T13:18:13.054+00:00,2026-07-01T13:19:03.097+00:00,,"[{""id"":""story_macro:novel:cmr23pgks000fv16zpwg1ms38:StoryMacroPlan:cmr23qjo9000tv16zf36f7gb0"",""novelId"":""cmr23pgks000fv16zpwg1ms38"",""artifactType"":""story_macro"",""targetType"":""novel"",""targetId"":""cmr23pgks000fv16zpwg1ms38"",""version"":1,""status"":""active"",""source"":""backfilled"",""contentRef"":{""table"":""StoryMacroPlan"",""id"":""cmr23qjo9000tv16zf36f7gb0""},""contentHash"":null,""schemaVersion"":""legacy-wrapper-v1"",""promptAssetKey"":null,""promptVersion"":null,""modelRoute"":null,""sourceStepRunId"":null,""protectedUserContent"":null,""updatedAt"":""2026-07-01T13:19:02.937Z"",""runId"":null}]",,2026-07-01T13:18:13.079+00:00,2026-07-01T14:14:27.182+00:00
cmr23ph97000ov16zr4w8ibs3,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr23pgks000fv16zpwg1ms38,cmr22h99w0000v16zwanj1p5t:story_macro.story_macro:global:global,story_macro.story_macro,正在生成故事宏观规划（已等待 45s）,running,global,,2026-07-01T13:18:13.135+00:00,,,,,2026-07-01T13:18:13.147+00:00,2026-07-01T14:14:25.887+00:00
cmr23qjpi000vv16zzdnfeiie,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr23pgks000fv16zpwg1ms38,cmr22h99w0000v16zwanj1p5t:story_macro.constraint_engine:global:global,story_macro.constraint_engine,正在构建约束引擎,running,global,,2026-07-01T13:19:02.970+00:00,,,,,2026-07-01T13:19:02.982+00:00,2026-07-01T14:14:25.889+00:00
cmr23qjxu0016v16zft03wrkw,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr23pgks000fv16zpwg1ms38,cmr22h99w0000v16zwanj1p5t:book_contract_phase:novel:cmr23pgks000fv16zpwg1ms38,book_contract_phase,生成书级创作约定,succeeded,novel,cmr23pgks000fv16zpwg1ms38,2026-07-01T13:19:03.273+00:00,2026-07-01T13:19:32.073+00:00,,"[{""id"":""book_contract:novel:cmr23pgks000fv16zpwg1ms38:BookContract:cmr23r62c001jv16zvqit3583"",""novelId"":""cmr23pgks000fv16zpwg1ms38"",""artifactType"":""book_contract"",""targetType"":""novel"",""targetId"":""cmr23pgks000fv16zpwg1ms38"",""version"":1,""status"":""active"",""source"":""backfilled"",""contentRef"":{""table"":""BookContract"",""id"":""cmr23r62c001jv16zvqit3583""},""contentHash"":null,""schemaVersion"":""legacy-wrapper-v1"",""promptAssetKey"":null,""promptVersion"":null,""modelRoute"":null,""sourceStepRunId"":null,""protectedUserContent"":null,""updatedAt"":""2026-07-01T13:19:31.955Z"",""runId"":null}]",,2026-07-01T13:19:03.282+00:00,2026-07-01T13:19:32.092+00:00
cmr23r6cm0023v16zaigtkndv,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr23pgks000fv16zpwg1ms38,cmr22h99w0000v16zwanj1p5t:world_setup_phase:novel:cmr23pgks000fv16zpwg1ms38,world_setup_phase,准备本书世界,succeeded,novel,cmr23pgks000fv16zpwg1ms38,2026-07-01T13:19:32.308+00:00,2026-07-01T13:24:08.353+00:00,,[],,2026-07-01T13:19:32.326+00:00,2026-07-01T13:24:08.371+00:00
cmr23x3hm002kv16zohe96pjr,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr23pgks000fv16zpwg1ms38,cmr22h99w0000v16zwanj1p5t:character_setup_phase:novel:cmr23pgks000fv16zpwg1ms38,character_setup_phase,准备角色阵容与角色资产,succeeded,novel,cmr23pgks000fv16zpwg1ms38,2026-07-01T13:24:08.542+00:00,2026-07-01T13:28:26.047+00:00,,"[{""id"":""character_cast:novel:cmr23pgks000fv16zpwg1ms38:Character:novel:cmr23pgks000fv16zpwg1ms38"",""novelId"":""cmr23pgks000fv16zpwg1ms38"",""artifactType"":""character_cast"",""targetType"":""novel"",""targetId"":""cmr23pgks000fv16zpwg1ms38"",""version"":1,""status"":""active"",""source"":""backfilled"",""contentRef"":{""table"":""Character"",""id"":""novel:cmr23pgks000fv16zpwg1ms38""},""contentHash"":null,""schemaVersion"":""legacy-wrapper-v1"",""promptAssetKey"":null,""promptVersion"":null,""modelRoute"":null,""sourceStepRunId"":null,""protectedUserContent"":null,""dependsOn"":[{""artifactId"":""book_contract:novel:cmr23pgks000fv16zpwg1ms38:BookContract:cmr23r62c001jv16zvqit3583"",""version"":1},{""artifactId"":""story_macro:novel:cmr23pgks000fv16zpwg1ms38:StoryMacroPlan:cmr23qjo9000tv16zf36f7gb0"",""version"":1}],""updatedAt"":""2026-07-01T13:28:25.946Z"",""runId"":null}]",,2026-07-01T13:24:08.554+00:00,2026-07-01T13:28:26.066+00:00
