id,novelId,chapterId,auditType,overallScore,summary,legacyScoreJson,createdAt,updatedAt
cmr266aji049iv16zjv4o5lr8,cmr23pgks000fv16zpwg1ms38,cmr24zob501riv16zlk7xxqvy,mode_fit,91,章节完整履行了所有义务：陌生演技展现充分，心理转变细腻，结尾悬念设置到位，伏笔兑现和约束遵守均无遗漏。可以继续推进。,"{""coherence"":92,""repetition"":90,""pacing"":88,""voice"":93,""engagement"":91,""overall"":91,""acceptanceStatus"":""accepted"",""continuePolicy"":""continue"",""riskTags"":[],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""本章推进了主线但没有明显伏笔对账风险，常规同步即可。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[]}",2026-07-01T14:27:16.830+00:00,2026-07-01T14:27:16.830+00:00
cmr26iwf504ivv16zhkx4bp8x,cmr23pgks000fv16zpwg1ms38,cmr24zob701rjv16zoa3pmbkg,continuity,82,时间、地点、人物状态总体连续，但阿力告知天台地点的信息缺失形成明显断点；阿力观察阿条说谎习惯的揭示缺乏前文铺垫，略微影响连贯性。,"{""coherence"":85,""repetition"":88,""pacing"":87,""voice"":90,""engagement"":90,""overall"":88}",2026-07-01T14:37:05.057+00:00,2026-07-01T14:37:05.057+00:00
cmr26iwf804iyv16ziwy9htuy,cmr23pgks000fv16zpwg1ms38,cmr24zob701rjv16zoa3pmbkg,character,90,阿条从被动到主动的心理转折通过行动展现，主导规则制定，符合角色发展；阿力保持神秘与克制，陈默作为背景出现，角色一致性强。,"{""coherence"":85,""repetition"":88,""pacing"":87,""voice"":90,""engagement"":90,""overall"":88}",2026-07-01T14:37:05.060+00:00,2026-07-01T14:37:05.060+00:00
cmr26iwfc04izv16zqz49xwvy,cmr23pgks000fv16zpwg1ms38,cmr24zob701rjv16zoa3pmbkg,plot,85,天台对话情节集中完成了秘密关系确立与信物埋设，但情节密度较低，基本为单一场次对话，未设置明显抵抗或波折。,"{""coherence"":85,""repetition"":88,""pacing"":87,""voice"":90,""engagement"":90,""overall"":88}",2026-07-01T14:37:05.064+00:00,2026-07-01T14:37:05.064+00:00
cmr26iwff04j1v16zi3mt6ml2,cmr23pgks000fv16zpwg1ms38,cmr24zob701rjv16zoa3pmbkg,mode_fit,90,语境保持职场偷情的紧张克制，外部风险自然植入，情感表达未滑向甜腻或过度告白，符合故事要求的氛围。,"{""coherence"":85,""repetition"":88,""pacing"":87,""voice"":90,""engagement"":90,""overall"":88}",2026-07-01T14:37:05.067+00:00,2026-07-01T14:37:05.067+00:00
cmr26k45m04j6v16zpp5zo4fc,cmr23pgks000fv16zpwg1ms38,cmr24zob901rkv16z4obgdvth,plot,89,本章主线清晰，暗语系统建立和测试完成，结尾钩子有效。但缺少对'上下级监控'的体现，且阿条内心禁忌自觉的刻画略弱。可通过局部补丁加强。,"{""coherence"":90,""repetition"":95,""pacing"":85,""voice"":90,""engagement"":88,""overall"":89,""acceptanceStatus"":""continue_with_risk"",""continuePolicy"":""repair_once"",""riskTags"":[""supervision_underrepresented""],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""暗语系统和食堂约定有记录价值，伏笔对账无紧急需求。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[{""mode"":""patch"",""target"":""plot"",""instruction"":""在办公室场景中（如开会时）增加王总对阿条和阿力同组的轻微注意，或阿条感知到王总审视的目光，体现上下级监控背景。同时，可在阿条心理活动中加入一点关于暴露风险的闪念，强化禁忌自觉。""}]}",2026-07-01T14:38:01.738+00:00,2026-07-01T14:38:01.738+00:00
cmr26mcg904klv16z409ae907,cmr23pgks000fv16zpwg1ms38,cmr24zob901rkv16z4obgdvth,character,83,主线完成度好，暗语系统和表演测试有趣且贴合角色，节奏轻快；但阿条对陈默消息的处理缺少对过去的怀念波动，需轻修。,"{""coherence"":85,""repetition"":88,""pacing"":80,""voice"":83,""engagement"":82,""overall"":83,""acceptanceStatus"":""continue_with_risk"",""continuePolicy"":""repair_once"",""riskTags"":[""character_consistency""],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""本章新增暗语系统、阿力附加条件等可记录资产；未见伏笔冲突，无需全量对账。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[{""mode"":""patch"",""target"":""character"",""instruction"":""在阿条收到陈默消息或回复场景中，增加 1-2 句内心波动（如手机屏幕停留、指尖迟疑、快速压下的回忆闪回等），保持第三人称有限视角，不破坏整体疏离基调。""}]}",2026-07-01T14:39:45.801+00:00,2026-07-01T14:39:45.801+00:00
cmr26tjzz04o4v16z4bycqir0,cmr23pgks000fv16zpwg1ms38,cmr24zobb01rlv16z1chjyonq,mode_fit,85,本章主线完成，暗语测试、脱险表演、默契升级均到位，结尾钩子有效。部分次要推进（如阿力目标变化、怀念过去）表现较弱，但不影响下一章入口，可在后续补强。,"{""coherence"":85,""repetition"":92,""pacing"":80,""voice"":86,""engagement"":84,""overall"":85,""acceptanceStatus"":""continue_with_risk"",""continuePolicy"":""continue"",""riskTags"":[""阿力目标变化不明显，可能影响后续角色弧线连贯性"",""怀念过去元素仅通过陈默消息浅触，若后续需深化应加强"",""脱险过程过于顺利，缺乏可见纰漏，可能稍弱刺激感，但不影响可读性""],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""本章新增暗语规则、角色状态微调，可正常入库；无需要求全量伏笔对账的重大风险。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[]}",2026-07-01T14:45:22.174+00:00,2026-07-01T14:45:22.174+00:00
cmr271lg204rcv16zxvad75no,cmr23pgks000fv16zpwg1ms38,cmr24zobd01rmv16z1nhh9ss5,plot,72,正文以细腻的心理描写展现了阿条从回味到主动联系的过程，静谧氛围和暗语默契保持良好，但完全缺失了小菲 goal changed、阿力 goal changed、同事怀疑升级 regressed 等多项必须推进的义务，且陈默未出场、上下级监控压力未体现，导致章节任务严重不完整。,"{""coherence"":70,""repetition"":85,""pacing"":65,""voice"":85,""engagement"":75,""overall"":72,""acceptanceStatus"":""needs_manual_review"",""continuePolicy"":""pause"",""riskTags"":[""核心义务大面积缺失"",""连续性断裂风险"",""人物状态滞后""],""assetSyncRecommendation"":{""priority"":""high"",""reason"":""大量必须推进的线索在本章断线，后续衔接需要全面对账伏笔和人物状态，建议优先同步以便人工修复。"",""requiresFullPayoffReconcile"":true},""repairDirectives"":[]}",2026-07-01T14:51:37.298+00:00,2026-07-01T14:51:37.298+00:00
cmr271lg504rgv16z3kgqtcx0,cmr23pgks000fv16zpwg1ms38,cmr24zobd01rmv16z1nhh9ss5,character,72,正文以细腻的心理描写展现了阿条从回味到主动联系的过程，静谧氛围和暗语默契保持良好，但完全缺失了小菲 goal changed、阿力 goal changed、同事怀疑升级 regressed 等多项必须推进的义务，且陈默未出场、上下级监控压力未体现，导致章节任务严重不完整。,"{""coherence"":70,""repetition"":85,""pacing"":65,""voice"":85,""engagement"":75,""overall"":72,""acceptanceStatus"":""needs_manual_review"",""continuePolicy"":""pause"",""riskTags"":[""核心义务大面积缺失"",""连续性断裂风险"",""人物状态滞后""],""assetSyncRecommendation"":{""priority"":""high"",""reason"":""大量必须推进的线索在本章断线，后续衔接需要全面对账伏笔和人物状态，建议优先同步以便人工修复。"",""requiresFullPayoffReconcile"":true},""repairDirectives"":[]}",2026-07-01T14:51:37.301+00:00,2026-07-01T14:51:37.301+00:00
cmr271lg904riv16z894kocx6,cmr23pgks000fv16zpwg1ms38,cmr24zobd01rmv16z1nhh9ss5,continuity,72,正文以细腻的心理描写展现了阿条从回味到主动联系的过程，静谧氛围和暗语默契保持良好，但完全缺失了小菲 goal changed、阿力 goal changed、同事怀疑升级 regressed 等多项必须推进的义务，且陈默未出场、上下级监控压力未体现，导致章节任务严重不完整。,"{""coherence"":70,""repetition"":85,""pacing"":65,""voice"":85,""engagement"":75,""overall"":72,""acceptanceStatus"":""needs_manual_review"",""continuePolicy"":""pause"",""riskTags"":[""核心义务大面积缺失"",""连续性断裂风险"",""人物状态滞后""],""assetSyncRecommendation"":{""priority"":""high"",""reason"":""大量必须推进的线索在本章断线，后续衔接需要全面对账伏笔和人物状态，建议优先同步以便人工修复。"",""requiresFullPayoffReconcile"":true},""repairDirectives"":[]}",2026-07-01T14:51:37.305+00:00,2026-07-01T14:51:37.305+00:00
cmr27a1hh04urv16zuy05eofv,cmr23pgks000fv16zpwg1ms38,cmr24zobf01rnv16zemm40alv,plot,81,本章完成嫉妒试探和团建距离策略的铺垫，主体情节符合任务要求，但个别触发细节未严格对齐，后续可继续推进。,"{""coherence"":85,""repetition"":86,""pacing"":78,""voice"":82,""engagement"":80,""overall"":81,""acceptanceStatus"":""continue_with_risk"",""continuePolicy"":""continue"",""riskTags"":[""jealousy_trigger_mild"",""past_nostalgia_missing"",""upcoming_cold_war_setup""],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""本章推进了嫉妒试探并种下团建策略种子，资产无重大冲突。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[]}",2026-07-01T14:58:11.332+00:00,2026-07-01T14:58:11.332+00:00
cmr27tggu04xcv16z6v5xthaj,cmr23pgks000fv16zpwg1ms38,cmr24zobh01rov16z0c34j46e,plot,73,正文在关键钩子前中断，缺失结尾孤独感渲染、未来认知转折及猜疑伏笔，无法构成完整章节。,"{""coherence"":70,""repetition"":80,""pacing"":65,""voice"":75,""engagement"":75,""overall"":73,""acceptanceStatus"":""needs_manual_review"",""continuePolicy"":""pause"",""riskTags"":[""incomplete_ending"",""missing_character_goal_change"",""unfulfilled_payoff""],""assetSyncRecommendation"":{""priority"":""high"",""reason"":""章节不完整，强行接收会导致资产同步混乱，必须全量伏笔对账。"",""requiresFullPayoffReconcile"":true},""repairDirectives"":[{""mode"":""rewrite"",""target"":""ending"",""instruction"":""从陈默消息后继续，补全烧烤场景，过渡到深夜独处，完成孤独感渲染、猜疑种子和结尾钩子。""},{""mode"":""patch"",""target"":""plot"",""instruction"":""在团建活动中插入一个自然的赞美事件（如教练或王总对某人的表扬），并让阿条通过此事触发对关系的反思。""}]}",2026-07-01T15:13:17.214+00:00,2026-07-01T15:13:17.214+00:00
cmr27tggx04xev16zwgegb3pi,cmr23pgks000fv16zpwg1ms38,cmr24zobh01rov16z0c34j46e,continuity,73,正文在关键钩子前中断，缺失结尾孤独感渲染、未来认知转折及猜疑伏笔，无法构成完整章节。,"{""coherence"":70,""repetition"":80,""pacing"":65,""voice"":75,""engagement"":75,""overall"":73,""acceptanceStatus"":""needs_manual_review"",""continuePolicy"":""pause"",""riskTags"":[""incomplete_ending"",""missing_character_goal_change"",""unfulfilled_payoff""],""assetSyncRecommendation"":{""priority"":""high"",""reason"":""章节不完整，强行接收会导致资产同步混乱，必须全量伏笔对账。"",""requiresFullPayoffReconcile"":true},""repairDirectives"":[{""mode"":""rewrite"",""target"":""ending"",""instruction"":""从陈默消息后继续，补全烧烤场景，过渡到深夜独处，完成孤独感渲染、猜疑种子和结尾钩子。""},{""mode"":""patch"",""target"":""plot"",""instruction"":""在团建活动中插入一个自然的赞美事件（如教练或王总对某人的表扬），并让阿条通过此事触发对关系的反思。""}]}",2026-07-01T15:13:17.217+00:00,2026-07-01T15:13:17.217+00:00
cmr281yfh04zxv16zoe81w3xh,cmr23pgks000fv16zpwg1ms38,cmr24zobj01rpv16zet3olxnq,continuity,86,本章主线完成度高，核心情节全部到位，结尾钩子有力，但小菲目标转变缺失和开头承接略跳，可通过后续章节自然弥补。,"{""coherence"":85,""repetition"":90,""pacing"":82,""voice"":88,""engagement"":85,""overall"":86,""acceptanceStatus"":""continue_with_risk"",""continuePolicy"":""continue"",""riskTags"":[""小菲目标变化延后"",""开头承接跳跃""],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""本章有重要剧情推进和情绪转折，但无需紧急全量伏笔对账。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[]}",2026-07-01T15:19:53.741+00:00,2026-07-01T15:19:53.741+00:00
cmr289bv6052yv16z8m2ni6uk,cmr23pgks000fv16zpwg1ms38,cmr24zobt01rqv16zbto61e2r,plot,83,本章主线推进扎实，冷落实感和怀疑萌芽已有效累积，但结尾钩子可再强化以完全贴合任务要求的蓄能效果。,"{""coherence"":85,""repetition"":82,""pacing"":80,""voice"":85,""engagement"":83,""overall"":83,""acceptanceStatus"":""repairable"",""continuePolicy"":""repair_once"",""riskTags"":[""ending_hook""],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""本章推进了冷落伏笔与怀疑萌芽，记录状态变化即可，暂无全量对账必要。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[{""mode"":""patch"",""target"":""ending"",""instruction"":""在‘她把手机放下。不再发消息。’之后，插入一句：‘像踩在薄冰上，不知道下一脚会不会碎裂。’或类似表述，直接点明关系危如累卵的状态，与任务钩子咬合。""}]}",2026-07-01T15:25:37.746+00:00,2026-07-01T15:25:37.746+00:00
cmr28an130535v16zyfnl985x,cmr23pgks000fv16zpwg1ms38,cmr24zobt01rqv16zbto61e2r,mode_fit,88,本章冷落累积到位，结尾钩子精准，义务完成度高，可以继续推进。,"{""coherence"":90,""repetition"":92,""pacing"":85,""voice"":85,""engagement"":88,""overall"":88,""acceptanceStatus"":""accepted"",""continuePolicy"":""continue"",""riskTags"":[],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""本章正常推进剧情，无需要立即更新的高优先级资产变化。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[]}",2026-07-01T15:26:38.871+00:00,2026-07-01T15:26:38.871+00:00
cmr30pebn0akfv16z902kwtno,cmr23pgks000fv16zpwg1ms38,cmr24zobw01rrv16zsmqcorpc,continuity,83,章节主线完整，情绪递进自然，但电梯相遇的逻辑存在轻微时序矛盾，可通过局部修补优化。,"{""coherence"":78,""repetition"":88,""pacing"":82,""voice"":85,""engagement"":84,""overall"":83,""acceptanceStatus"":""repairable"",""continuePolicy"":""repair_once"",""riskTags"":[""elevator_logic""],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""本章主要推进人物关系和心理状态，无大量新资产或伏笔，但陈默聚会提醒、暗语提及等可记录。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[{""mode"":""patch"",""target"":""continuity"",""instruction"":""调整电梯相遇的逻辑，确保阿力出现在电梯内的方式自然。例如，让阿条按下行键时电梯正在下行，门开时阿力恰好站在里面准备前往一楼；或提示阿力下到一楼后未立即出梯，短暂处理文件，电梯被阿条叫回。""}]}",2026-07-02T04:41:56.675+00:00,2026-07-02T04:41:56.675+00:00
cmr30r3hl0aklv16z39gnbce0,cmr23pgks000fv16zpwg1ms38,cmr24zobw01rrv16zsmqcorpc,mode_fit,82,本章按计划完成了电梯对峙和猜疑升级，结尾钩子有效；但赌气离场的具体动作与任务说明略有出入，且部分可推迟的伏笔未触碰，建议后续章节留意。,"{""coherence"":82,""repetition"":88,""pacing"":80,""voice"":84,""engagement"":78,""overall"":82,""acceptanceStatus"":""continue_with_risk"",""continuePolicy"":""continue"",""riskTags"":[""ending_hook_soft"",""deferred_payoff_touches""],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""主要推进人物关系，新增测试方向伏笔，但未涉及复杂线索对账。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[]}",2026-07-02T04:43:15.945+00:00,2026-07-02T04:43:15.945+00:00
cmr310q0v0annv16zrgzd6szy,cmr23pgks000fv16zpwg1ms38,cmr24zoby01rsv16zxnuxclfi,plot,84,本章通过阿条主动测试阿力反应，实现了猜疑升级的核心推进，但李晴和阿力的目标变化未明确体现，需要通过轻修补足。,"{""coherence"":85,""repetition"":90,""pacing"":82,""voice"":85,""engagement"":83,""overall"":84,""acceptanceStatus"":""repairable"",""continuePolicy"":""repair_once"",""riskTags"":[""character_goal_change""],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""本章完成测试环节，猜疑升级，为后续对峙蓄能，但无高优先级资产冲突。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[{""mode"":""patch"",""target"":""character"",""instruction"":""在李晴与阿条食堂对话或走廊相遇时，添加一句李晴略带担忧的试探或内心独白提示，表明她开始将观察转化为具体行动。""},{""mode"":""patch"",""target"":""character"",""instruction"":""在阿力目光移开后，插入他主动与小菲交谈并拉近座位距离的细节，或通过阿条注意到他手链停止捻转等微动作，暗示他选择了新的应对策略。""}]}",2026-07-02T04:50:45.055+00:00,2026-07-02T04:50:45.055+00:00
cmr3186z90ar1v16zd3iqedlt,cmr23pgks000fv16zpwg1ms38,cmr24zoc001rtv16zdbja58rs,continuity,82,本章主线情绪推进扎实，偷听与回避转变自然，但多项计划义务（陈默出场、payoff touches、朋友关心）未兑现，需局部补丁后继续。,"{""coherence"":80,""repetition"":85,""pacing"":82,""voice"":84,""engagement"":83,""overall"":82,""acceptanceStatus"":""repairable"",""continuePolicy"":""repair_once"",""riskTags"":[""missing_payoff_touches"",""missing_character_appearance"",""friend_care_flat""],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""修补后陈默出场和payoff兑现会新增可记录资产，但无颠覆性伏笔变动。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[{""mode"":""patch"",""target"":""plot"",""instruction"":""在正文中后段（如阿条回避后或傍晚）插入陈默的微信消息确认聚会时间地点，同时让阿条在内心闪回暗语规则却主动放弃使用，以兑现所有缺失的payoff touches和角色出场；在结尾前增加李晴的简短关心互动。""}]}",2026-07-02T04:56:33.621+00:00,2026-07-02T04:56:33.621+00:00
