id,snapshotId,holderType,holderRefId,fact,status,summary,createdAt,updatedAt
cmr269sr804b7v16zmg6761pl,cmr269sr004b3v16zvdhpsups,reader,,阿力用“演得不错”认可阿条，两人成为秘密共犯。,known,读者得知两人默契升级。,2026-07-01T14:30:00.404+00:00,2026-07-01T14:30:00.404+00:00
cmr269sr804b8v16zr24qur8r,cmr269sr004b3v16zvdhpsups,reader,,阿力发出夜晚邀约，阿条未即时回复。,known,读者处于悬念，期待后续发展。,2026-07-01T14:30:00.404+00:00,2026-07-01T14:30:00.404+00:00
cmr269sr804b9v16zyqx307pk,cmr269sr004b3v16zvdhpsups,character,,阿条声称没注意阿力，但她吃不准真假。,unknown,小菲怀疑但信息不足。,2026-07-01T14:30:00.404+00:00,2026-07-01T14:30:00.404+00:00
cmr26ffu204fgv16zg5hni5nr,cmr26feyn04ebv16zh84ifjuv,reader,,阿条和阿力正式确立秘密恋爱关系，制定三条规则及附加条件，约定明日食堂暗号。,known,读者掌握关系突破的关键信息。,2026-07-01T14:34:23.594+00:00,2026-07-01T14:34:23.594+00:00
cmr26pscm04msv16zmy4vrbji,cmr26psce04mov16zi89zlpdj,reader,,暗语系统包括九条基础暗语，新增菠萝包和明天的菜谱，食堂规则确定，阿力会偏移椅子。,known,读者知晓完整规则，期待明天食堂场景。,2026-07-01T14:42:26.374+00:00,2026-07-01T14:42:26.374+00:00
cmr26pscm04mtv16z9w31t3xa,cmr26psce04mov16zi89zlpdj,reader,,小菲在打印室撞见二人，食堂注意到阿条换座，但未识破秘密。,known,读者知道同事怀疑的种子已埋下。,2026-07-01T14:42:26.374+00:00,2026-07-01T14:42:26.374+00:00
cmr26y8r704ptv16zuxmpbbr9,cmr26y8qz04ppv16zakxqwzrs,reader,,阿条和阿力用暗语成功策划茶水间私会并脱险。,known,读者已掌握,2026-07-01T14:49:00.883+00:00,2026-07-01T14:49:00.883+00:00
cmr26y8r704puv16zhmflkghe,cmr26y8qz04ppv16zakxqwzrs,reader,,新增暗语规则：椅子偏移上限三厘米。,known,,2026-07-01T14:49:00.883+00:00,2026-07-01T14:49:00.883+00:00
cmr26y8r704pvv16z3w8jdf2y,cmr26y8qz04ppv16zakxqwzrs,reader,,阿条新增编码：芒果代表危险信号，菠萝包多义性。,known,,2026-07-01T14:49:00.883+00:00,2026-07-01T14:49:00.883+00:00
cmr274qy504sov16zpnziddnh,cmr274qxw04skv16zz42ick5d,reader,,阿条选择在暴露前沉溺于秘密游戏，且阿力同样享受这场游戏。,known,读者现在完全了解两人的心理状态，但角色之间仍有保留。,2026-07-01T14:54:04.397+00:00,2026-07-01T14:54:04.397+00:00
cmr274qy604spv16zci4a0byd,cmr274qxw04skv16zz42ick5d,character,,阿力同样享受这场游戏,known_by_character,阿条通过消息确认阿力也在享受，但不清楚对方的具体意图。,2026-07-01T14:54:04.397+00:00,2026-07-01T14:54:04.397+00:00
