id,novelId,chapterId,sourceSnapshotId,sourceType,sourceStage,proposalType,riskLevel,status,summary,payloadJson,evidenceJson,validationNotesJson,committedVersionId,createdAt,updatedAt
cmr261x17048lv16zhnarc6x3,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,cmr261wze048bv16zho19qw9d,chapter_background_sync,chapter_execution,character_state_update,low,committed,阿条 runtime state advanced in chapter 1,"{""characterId"":""cmr23zj4j004tv16zlc1ewt6u"",""characterName"":""阿条"",""chapterId"":""cmr24zoaz01rhv16zmcjv20hl"",""chapterOrder"":1,""currentState"":""阿条经历密室的亲密接触后，从被动沉溺中惊醒，意识到办公室恋情的危险，决心掩饰并继续扮演陌生人。"",""currentGoal"":""在杭州站稳脚跟，拥有自己的生活，同时隐藏与阿力的暧昧关系"",""emotion"":""紧张、悸动、挣扎、后怕"",""pressure"":85}","[""阿条经历密室的亲密接触后，从被动沉溺中惊醒，意识到办公室恋情的危险，决心掩饰并继续扮演陌生人。"",""goal=在杭州站稳脚跟，拥有自己的生活，同时隐藏与阿力的暧昧关系"",""emotion=紧张、悸动、挣扎、后怕"",""阿条刚把手机收进围裙口袋，屏幕在熄灭前闪了一下——陈默的微信消息还停在那里：‘最近怎么样""]",[],cmr261x2t048yv16zzhyput2w,2026-07-01T14:23:52.698+00:00,2026-07-01T14:23:52.760+00:00
cmr261x1d048mv16z3vr3qbti,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,cmr261wze048bv16zho19qw9d,chapter_background_sync,chapter_execution,character_state_update,low,committed,阿力 runtime state advanced in chapter 1,"{""characterId"":""cmr23zj4y004uv16zh1dm72nm"",""characterName"":""阿力"",""chapterId"":""cmr24zoaz01rhv16zmcjv20hl"",""chapterOrder"":1,""currentState"":""阿力主动制造亲密接触，表面温和但笑意未达眼底，真实态度不明。"",""currentGoal"":""维持职场安稳，维持与阿条的暧昧关系（推测）"",""emotion"":""冷静、玩味、有所保留"",""pressure"":30}","[""阿力主动制造亲密接触，表面温和但笑意未达眼底，真实态度不明。"",""goal=维持职场安稳，维持与阿条的暧昧关系（推测）"",""emotion=冷静、玩味、有所保留"",""暗沉的光线里，她看见阿力微微低下的脸——眉眼温和，瞳色偏浅，距离近到她能看清他眼尾微弯的弧度里并没有笑意""]",[],cmr261x2t048yv16zzhyput2w,2026-07-01T14:23:52.704+00:00,2026-07-01T14:23:52.760+00:00
cmr261x1g048nv16zrmeebryp,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,cmr261wze048bv16zho19qw9d,chapter_background_sync,chapter_execution,payoff_progression,low,committed,"Payoff ""阿力在这段关系中的真实态度"" progressed in chapter 1","{""ledgerKey"":""ali_real_attitude"",""payoffId"":""cmr252oi0020uv16z0e8biytc"",""chapterId"":""cmr24zoaz01rhv16zmcjv20hl"",""chapterOrder"":1,""currentStatus"":""pending_payoff"",""lastTouchedChapterId"":""cmr24zod601sfv16zz52rk4y9"",""lastTouchedChapterOrder"":35,""targetEndChapterOrder"":35}","[""阿力对这段关系的真实态度，是否真心投入。"",""卷 open payoff，尚未兑现。"",""[object Object]""]",[],cmr261x2t048yv16zzhyput2w,2026-07-01T14:23:52.708+00:00,2026-07-01T14:23:52.760+00:00
cmr261x1i048ov16z4bkj05nk,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,cmr261wze048bv16zho19qw9d,chapter_background_sync,chapter_execution,payoff_progression,low,committed,"Payoff ""发现对方可能从未真正投入"" progressed in chapter 1","{""ledgerKey"":""real_intention_revealed"",""payoffId"":""cmr252ohr020sv16zmln6n56c"",""chapterId"":""cmr24zoaz01rhv16zmcjv20hl"",""chapterOrder"":1,""currentStatus"":""setup"",""lastTouchedChapterId"":""cmr24zoaz01rhv16zmcjv20hl"",""lastTouchedChapterOrder"":1,""targetEndChapterOrder"":105}","[""最终发现对方可能从未真正投入，内心彻底崩溃，在幻灭中清醒决断。"",""书级提示，尚未进入当前卷兑现窗口。""]",[],cmr261x2t048yv16zzhyput2w,2026-07-01T14:23:52.710+00:00,2026-07-01T14:23:52.760+00:00
cmr261x1j048pv16zx34suliy,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,cmr261wze048bv16zho19qw9d,chapter_background_sync,chapter_execution,payoff_progression,low,committed,"Payoff ""同事的怀疑是否升级"" progressed in chapter 1","{""ledgerKey"":""colleague_suspicion_escalation"",""payoffId"":""cmr24eebx00fsv16z65hnqzwm"",""chapterId"":""cmr24zoaz01rhv16zmcjv20hl"",""chapterOrder"":1,""currentStatus"":""pending_payoff"",""lastTouchedChapterId"":""cmr24zod601sfv16zz52rk4y9"",""lastTouchedChapterOrder"":35,""targetEndChapterOrder"":35}","[""同事对两人关系的怀疑程度是否升级。"",""卷 open payoff，但当前卷未明确兑现。"",""[object Object]""]",[],cmr261x2t048yv16zzhyput2w,2026-07-01T14:23:52.711+00:00,2026-07-01T14:23:52.760+00:00
cmr261x1l048qv16z6do8lnl3,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,cmr261wze048bv16zho19qw9d,chapter_background_sync,chapter_execution,payoff_progression,low,committed,"Payoff ""秘密因突发事件被半公开"" progressed in chapter 1","{""ledgerKey"":""secret_semi_exposed"",""payoffId"":""cmr24eebn00fpv16zvuqfa09v"",""chapterId"":""cmr24zoaz01rhv16zmcjv20hl"",""chapterOrder"":1,""currentStatus"":""setup"",""lastTouchedChapterId"":""cmr24zoaz01rhv16zmcjv20hl"",""lastTouchedChapterOrder"":1,""targetEndChapterOrder"":70}","[""秘密被半公开，朋友圈和职场压力拉满，面临毁灭性后果。"",""书级提示，尚未进入当前卷兑现窗口。""]",[],cmr261x2t048yv16zzhyput2w,2026-07-01T14:23:52.713+00:00,2026-07-01T14:23:52.760+00:00
cmr261x1n048rv16z2x42w4is,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,cmr261wze048bv16zho19qw9d,chapter_background_sync,chapter_execution,payoff_progression,low,committed,"Payoff ""第一次因隐瞒引发的信任危机"" progressed in chapter 1","{""ledgerKey"":""first_trust_crisis"",""payoffId"":""cmr24eebf00fov16z7q4v9a9j"",""chapterId"":""cmr24zoaz01rhv16zmcjv20hl"",""chapterOrder"":1,""currentStatus"":""pending_payoff"",""lastTouchedChapterId"":""cmr24zod601sfv16zz52rk4y9"",""lastTouchedChapterOrder"":35,""targetEndChapterOrder"":35}","[""阿力隐瞒真实原因，导致两人首次激烈争吵，关系出现裂痕。"",""卷摘要已提示隐瞒被揭穿，但未提供具体争吵细节，处于待兑现状态。"",""[object Object]""]",[],cmr261x2t048yv16zzhyput2w,2026-07-01T14:23:52.714+00:00,2026-07-01T14:23:52.760+00:00
cmr261x1o048sv16zb9r3q79i,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,cmr261wze048bv16zho19qw9d,chapter_background_sync,chapter_execution,conflict_update,medium,committed,"Conflict ""character/trait_not_preserved"" was touched in chapter 1","{""conflictId"":""cmr25vuz3046wv16zikr45u99"",""conflictKey"":""character:trait_not_preserved:正文未展现阿条与同事表面和气、暗地比较的心理或行为细节，唯一相关的是对小菲的内心回应，但并未体现比较。"",""chapterId"":""cmr24zoaz01rhv16zmcjv20hl"",""chapterOrder"":1,""status"":""resolved"",""severity"":""medium"",""summary"":""正文未展现阿条与同事表面和气、暗地比较的心理或行为细节，唯一相关的是对小菲的内心回应，但并未体现比较。""}","[""正文未展现阿条与同事表面和气、暗地比较的心理或行为细节，唯一相关的是对小菲的内心回应，但并未体现比较。"",""在阿条听到小菲抱怨王总时，插入一句阿条暗想自己上周被点名时小菲的得意眼神，或在走出茶水间后与李晴微笑时，加入一丝关于业绩或着装的暗自比较。""]",[],cmr261x2t048yv16zzhyput2w,2026-07-01T14:23:52.716+00:00,2026-07-01T14:23:52.760+00:00
cmr261x1q048tv16z7059mllu,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,cmr261wze048bv16zho19qw9d,chapter_background_sync,chapter_execution,conflict_update,medium,committed,"Conflict ""character/character_missing_appearance"" was touched in chapter 1","{""conflictId"":""cmr25vuz1046vv16zz2r9fl4a"",""conflictKey"":""character:character_missing_appearance:正文仅通过回忆提及陈默，其本人未以任何形式实际出场。"",""chapterId"":""cmr24zoaz01rhv16zmcjv20hl"",""chapterOrder"":1,""status"":""resolved"",""severity"":""medium"",""summary"":""正文仅通过回忆提及陈默，其本人未以任何形式实际出场。""}","[""正文仅通过回忆提及陈默，其本人未以任何形式实际出场。"",""可在茶水间储物隔间段落前，通过阿条手机屏幕展示陈默发来的微信消息或朋友圈动态，使其在本章出场。""]",[],cmr261x2t048yv16zzhyput2w,2026-07-01T14:23:52.718+00:00,2026-07-01T14:23:52.760+00:00
cmr261x1r048uv16z0pdhq3dx,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,cmr261wze048bv16zho19qw9d,chapter_background_sync,chapter_execution,event_record,low,committed,Chapter 1 event record,"{""chapterId"":""cmr24zoaz01rhv16zmcjv20hl"",""chapterOrder"":1,""chapterTitle"":""隔间心跳"",""keyEvents"":[""阿条刚把手机收进围裙口袋，屏幕在熄灭前闪了一下——陈默的微信消息还停在那里：‘最近怎么样"",""阿条后腰抵在纸箱边缘，刚要开口，一只手掌就覆上了她的嘴"",""阿条的心跳在那个瞬间猛地撞上肋骨"",""暗沉的光线里，她看见阿力微微低下的脸——眉眼温和，瞳色偏浅，距离近到她能看清他眼尾微弯的弧度里并没有笑意"",""“诶，你刚才看见阿力没有""]}","[""阿条刚把手机收进围裙口袋，屏幕在熄灭前闪了一下——陈默的微信消息还停在那里：‘最近怎么样"",""阿条后腰抵在纸箱边缘，刚要开口，一只手掌就覆上了她的嘴"",""阿条的心跳在那个瞬间猛地撞上肋骨"",""暗沉的光线里，她看见阿力微微低下的脸——眉眼温和，瞳色偏浅，距离近到她能看清他眼尾微弯的弧度里并没有笑意"",""“诶，你刚才看见阿力没有""]",[],cmr261x2t048yv16zzhyput2w,2026-07-01T14:23:52.719+00:00,2026-07-01T14:23:52.760+00:00
