id,novelId,chapterId,sourceSnapshotId,sourceIssueId,sourceType,conflictType,conflictKey,title,summary,severity,status,evidenceJson,affectedCharacterIdsJson,resolutionHint,lastSeenChapterOrder,createdAt,updatedAt
cmr252oj8020wv16zxifub8sf,cmr23pgks000fv16zpwg1ms38,cmr252pek0213v16zuwcfd0ck,cmr8lt4hp0dinv16ztw5fne9q,,payoff_ledger,payoff_missing_progress,payoff:colleague_suspicion_escalation:payoff_missing_progress,payoff/payoff_missing_progress,伏笔“同事的怀疑是否升级”存在专项风险：怀疑持续升温但未形成半公开引爆点。,medium,open,"[""第40章同事怀疑已升级，但未形成半公开引爆点。""]",[],为该伏笔补上明确推进动作，避免账本继续停滞。,40,2026-07-01T13:56:28.724+00:00,2026-07-06T02:31:52.682+00:00
cmr252ojf020xv16zleddoc3n,cmr23pgks000fv16zpwg1ms38,cmr24zod201sdv16zyjm3gz4z,cmr32hs830b5yv16znw2frbjt,,payoff_ledger,payoff_missing_progress,payoff:first_trust_crisis:payoff_missing_progress,payoff/payoff_missing_progress,伏笔“第一次因隐瞒引发的信任危机”存在专项风险：仅初期发酵，未展示具体争吵场景，需在后续加速推进。,medium,resolved,"[""第33章争吵中阿力说'你非要这样想我也没办法'，信任崩塌。""]",[],为该伏笔补上明确推进动作，避免账本继续停滞。,33,2026-07-01T13:56:28.731+00:00,2026-07-02T06:17:30.369+00:00
cmr25vuz1046vv16zz2r9fl4a,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,,cmr25vuym046tv16z1vpsuhs0,audit_issue,character,character:character_missing_appearance:正文仅通过回忆提及陈默，其本人未以任何形式实际出场。,character/character_missing_appearance,正文仅通过回忆提及陈默，其本人未以任何形式实际出场。,medium,resolved,"[""正文仅通过回忆提及陈默，其本人未以任何形式实际出场。""]",,可在茶水间储物隔间段落前，通过阿条手机屏幕展示陈默发来的微信消息或朋友圈动态，使其在本章出场。,1,2026-07-01T14:19:10.093+00:00,2026-07-01T14:22:01.466+00:00
cmr25vuz3046wv16zikr45u99,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,,cmr25vuym046uv16zgoqyys02,audit_issue,character,character:trait_not_preserved:正文未展现阿条与同事表面和气、暗地比较的心理或行为细节，唯一相关的是对小菲的内心回应，但并未体现比较。,character/trait_not_preserved,正文未展现阿条与同事表面和气、暗地比较的心理或行为细节，唯一相关的是对小菲的内心回应，但并未体现比较。,medium,resolved,"[""正文未展现阿条与同事表面和气、暗地比较的心理或行为细节，唯一相关的是对小菲的内心回应，但并未体现比较。""]",,在阿条听到小菲抱怨王总时，插入一句阿条暗想自己上周被点名时小菲的得意眼神，或在走出茶水间后与李晴微笑时，加入一丝关于业绩或着装的暗自比较。,1,2026-07-01T14:19:10.095+00:00,2026-07-01T14:22:01.466+00:00
cmr269sru04bdv16zzmgie1b5,cmr23pgks000fv16zpwg1ms38,cmr24zob501riv16zlk7xxqvy,cmr269sr004b3v16zvdhpsups,,state_diff,character_goal_shift,character_goal_shift:cmr23zj4j004tv16zlc1ewt6u,阿条 goal changed,"阿条 current goal changed from ""在杭州站稳脚跟，拥有自己的生活，同时隐藏与阿力的暧昧关系"" to ""决定如何回应阿力的夜晚邀约"". Confirm this chapter includes a clear transition trigger.",medium,resolved,"[""Previous goal: 在杭州站稳脚跟，拥有自己的生活，同时隐藏与阿力的暧昧关系"",""Previous state: 阿条经历密室的亲密接触后，从被动沉溺中惊醒，意识到办公室恋情的危险，决心掩饰并继续扮演陌生人。"",""Current goal: 决定如何回应阿力的夜晚邀约"",""Current state: 阿条成功扮演陌生人后获得阿力认可，开始享受秘密游戏刺激，但面对邀约时仍紧张迟疑。""]","[""cmr23zj4j004tv16zlc1ewt6u""]","If this is an intentional turn, make the trigger explicit in the chapter or plan. Otherwise restore the prior goal.",2,2026-07-01T14:30:00.425+00:00,2026-07-01T14:34:22.488+00:00
cmr269srx04bev16z66bf2ywy,cmr23pgks000fv16zpwg1ms38,cmr24zob501riv16zlk7xxqvy,cmr269sr004b3v16zvdhpsups,,state_diff,character_goal_shift,character_goal_shift:cmr23zj4y004uv16zh1dm72nm,阿力 goal changed,"阿力 current goal changed from ""维持职场安稳，维持与阿条的暧昧关系（推测）"" to ""维持暧昧关系并推进亲密程度"". Confirm this chapter includes a clear transition trigger.",medium,resolved,"[""Previous goal: 维持职场安稳，维持与阿条的暧昧关系（推测）"",""Previous state: 阿力主动制造亲密接触，表面温和但笑意未达眼底，真实态度不明。"",""Current goal: 维持暧昧关系并推进亲密程度"",""Current state: 阿力继续主导暧昧节奏，用暗语和邀约巩固同谋关系，表面温和但目的不明。""]","[""cmr23zj4y004uv16zh1dm72nm""]","If this is an intentional turn, make the trigger explicit in the chapter or plan. Otherwise restore the prior goal.",2,2026-07-01T14:30:00.429+00:00,2026-07-01T14:34:22.492+00:00
cmr26feze04elv16z70t3qzdl,cmr23pgks000fv16zpwg1ms38,cmr24zob701rjv16zoa3pmbkg,cmr26feyn04ebv16zh84ifjuv,,state_diff,character_goal_shift,character_goal_shift:cmr23zj4j004tv16zlc1ewt6u,阿条 goal changed,"阿条 current goal changed from ""决定如何回应阿力的夜晚邀约"" to ""执行秘密恋爱规则，准备明日食堂暗语，在同事眼皮下继续游戏。"". Confirm this chapter includes a clear transition trigger.",medium,resolved,"[""Previous goal: 决定如何回应阿力的夜晚邀约"",""Previous state: 阿条成功扮演陌生人后获得阿力认可，开始享受秘密游戏刺激，但面对邀约时仍紧张迟疑。"",""Current goal: 执行秘密恋爱规则，准备明日食堂暗语，在同事眼皮下继续游戏。"",""Current state: 阿条主动制定规则，从被动卷入者变为关系掌控者，但依然保持对暴露风险的警觉。""]","[""cmr23zj4j004tv16zlc1ewt6u""]","If this is an intentional turn, make the trigger explicit in the chapter or plan. Otherwise restore the prior goal.",3,2026-07-01T14:34:22.490+00:00,2026-07-01T14:42:26.389+00:00
cmr26fezh04emv16zylkqz264,cmr23pgks000fv16zpwg1ms38,cmr24zob701rjv16zoa3pmbkg,cmr26feyn04ebv16zh84ifjuv,,state_diff,character_goal_shift,character_goal_shift:cmr23zj4y004uv16zh1dm72nm,阿力 goal changed,"阿力 current goal changed from ""维持暧昧关系并推进亲密程度"" to ""遵守阿条的规则，在隐蔽中推进关系。"". Confirm this chapter includes a clear transition trigger.",medium,resolved,"[""Previous goal: 维持暧昧关系并推进亲密程度"",""Previous state: 阿力继续主导暧昧节奏，用暗语和邀约巩固同谋关系，表面温和但目的不明。"",""Current goal: 遵守阿条的规则，在隐蔽中推进关系。"",""Current state: 阿力接受了阿条的规则，请求坦诚，关系进入明确但受约束的地下阶段。""]","[""cmr23zj4y004uv16zh1dm72nm""]","If this is an intentional turn, make the trigger explicit in the chapter or plan. Otherwise restore the prior goal.",3,2026-07-01T14:34:22.493+00:00,2026-07-01T14:42:26.393+00:00
cmr26fu4i04gnv16zjmw7gcs7,cmr23pgks000fv16zpwg1ms38,cmr252pek0213v16zuwcfd0ck,cmr8lt4hp0dinv16ztw5fne9q,,payoff_ledger,payoff_missing_progress,payoff:ali_true_attitude:payoff_missing_progress,payoff/payoff_missing_progress,伏笔“阿力在这段关系中的真实态度”存在专项风险：阿力真实态度仍未揭示，需在后续明确。,medium,open,"[""第40章阿力当众宣称单人间，完全断绝同事合住可能。""]",[],为该伏笔补上明确推进动作，避免账本继续停滞。,40,2026-07-01T14:34:42.114+00:00,2026-07-06T02:31:52.680+00:00
cmr26fu4m04gov16zkqy7c1f0,cmr23pgks000fv16zpwg1ms38,cmr252pek0213v16zuwcfd0ck,cmr8lt4hp0dinv16ztw5fne9q,,payoff_ledger,payoff_missing_progress,payoff:ali_hidden_reason:payoff_missing_progress,payoff/payoff_missing_progress,伏笔“阿力隐瞒的真实原因”存在专项风险：卷内已临近结尾，原因仍未揭示。,medium,open,"[""第38章暗示阿力可能在寻求外部机会，但原因未完全揭示。""]",[],为该伏笔补上明确推进动作，避免账本继续停滞。,40,2026-07-01T14:34:42.118+00:00,2026-07-06T02:31:52.684+00:00
cmr26iwft04j2v16zpe3jljdr,cmr23pgks000fv16zpwg1ms38,cmr24zob701rjv16zoa3pmbkg,cmr26feyn04ebv16zh84ifjuv,cmr26iwfd04j0v16zbbtcmalr,audit_issue,plot,plot:plot_thin:本章核心情节为一场对话，虽然情感推进有效，但缺少能够加剧张力的次级事件。,plot/plot_thin,本章核心情节为一场对话，虽然情感推进有效，但缺少能够加剧张力的次级事件。,low,open,"[""自阿条上天台到离开，全程为两人互动，外部打断仅有一次脚步声和一次手机震动，未构成实质威胁。""]",,可考虑在规则协商过程中增加一次更切近的暴露风险（如天台门被风吹开），强化紧张感。,3,2026-07-01T14:37:05.081+00:00,2026-07-01T14:37:05.081+00:00
cmr26iwfw04j3v16z12wmpl9y,cmr23pgks000fv16zpwg1ms38,cmr24zob701rjv16zoa3pmbkg,cmr26feyn04ebv16zh84ifjuv,cmr26iwf604iwv16zafw6fmzz,audit_issue,continuity,continuity:continuity_gap:阿条询问见面地点后，跳过阿力的回复，直接转到她前往天台，缺少必要的信息传递。,continuity/continuity_gap,阿条询问见面地点后，跳过阿力的回复，直接转到她前往天台，缺少必要的信息传递。,medium,open,"[""阿条发出“在哪？几点。”后，下一段落已是“七点四十分。阿条走出公司大楼……”，中间未显示阿力如何告知地点。""]",,插入一句阿力的微信回复（如“老地方天台”），或让阿条在前往时想起他的指示。,3,2026-07-01T14:37:05.084+00:00,2026-07-01T14:37:05.084+00:00
cmr26iwfy04j4v16zt8wnsn0f,cmr23pgks000fv16zpwg1ms38,cmr24zob701rjv16zoa3pmbkg,cmr26feyn04ebv16zh84ifjuv,cmr26iwf604ixv16zbe9xs7js,audit_issue,continuity,continuity:continuity_setup_weak:阿力指出阿条说谎摸手腕的习惯，但前文未提供此类行为的描写，读者可能感到突然。,continuity/continuity_setup_weak,阿力指出阿条说谎摸手腕的习惯，但前文未提供此类行为的描写，读者可能感到突然。,low,open,"[""阿力说“你每次说谎的时候会摸你左手腕”，而之前章节中阿条敷衍小菲或他人时未有此动作。""]",,在前文阿条说谎的场景中悄悄加入她无意识捻红绳或摸手腕的细节作为伏笔。,3,2026-07-01T14:37:05.086+00:00,2026-07-01T14:37:05.086+00:00
