id,novelId,chapterId,contentHash,artifactType,syncMode,status,sourceType,sourceStage,metadataJson,createdAt,updatedAt
cmr25vuze046xv16zqit0cpb3,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,3a61b4f4c604b144952971017af2bf64f2e02fdd,quality_gate_acceptance,request_b7af9db2ba651ee9fd816e8c,succeeded,chapter_quality_gate,acceptance,"{""schemaVersion"":1,""gate"":""acceptance"",""contentHash"":""3a61b4f4c604b144952971017af2bf64f2e02fdd"",""requestKey"":""b7af9db2ba651ee9fd816e8c62975696dc012151"",""result"":{""assessment"":{""status"":""continue_with_risk"",""score"":{""coherence"":85,""repetition"":90,""pacing"":82,""voice"":85,""engagement"":83,""overall"":84},""summary"":""章节主线完成度高，氛围营造和内心转折到位，但缺失陈默的出场义务，且阿条“表面和气暗地比较”的特质未得到保留，需通过局部补丁补齐。"",""blockingIssues"":[{""severity"":""medium"",""category"":""character"",""code"":""character_missing_appearance"",""evidence"":""正文仅通过回忆提及陈默，其本人未以任何形式实际出场。"",""fixSuggestion"":""可在茶水间储物隔间段落前，通过阿条手机屏幕展示陈默发来的微信消息或朋友圈动态，使其在本章出场。""},{""severity"":""medium"",""category"":""character"",""code"":""trait_not_preserved"",""evidence"":""正文未展现阿条与同事表面和气、暗地比较的心理或行为细节，唯一相关的是对小菲的内心回应，但并未体现比较。"",""fixSuggestion"":""在阿条听到小菲抱怨王总时，插入一句阿条暗想自己上周被点名时小菲的得意眼神，或在走出茶水间后与李晴微笑时，加入一丝关于业绩或着装的暗自比较。""}],""repairDirectives"":[{""mode"":""patch"",""target"":""character"",""instruction"":""在章节前半段（如储物隔间前或刚进入时）通过阿条手机屏幕或内心闪回插入陈默的远程出场（如一条微信消息），确保其作为角色在场。""},{""mode"":""patch"",""target"":""character"",""instruction"":""在阿条与小菲/李晴互动的段落，添加一两句内心比较（如业绩、外表或王总态度），强化“表面和气暗地比较”的特质。""}],""missingObligations"":[{""kind"":""character_appearance"",""summary"":""关键角色陈默必须在本章出场，但正文仅通过回忆提及，没有实际登场。"",""evidence"":""正文中陈默只出现在阿条的回忆和对白引用中，无独立行为或直接对话。""},{""kind"":""must_preserve"",""summary"":""必须保留阿条“表面和气暗地比较”的特质，但正文缺乏具体体现。"",""evidence"":""阿条对李晴、小菲的互动均为表面和气的反应，无任何暗地比较的心理或观察描写。""}],""repairability"":""patchable_obligation_gap"",""decisionReason"":""主线任务完成，仅需补足两个轻度义务漏洞（陈默出场和角色特质），可通过局部插入解决，无需重写。"",""riskTags"":[""character_appearance_gap"",""trait_preservation""],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""本章为开篇，尚无复杂伏笔需要全量对账，仅需记录新登场角色状态和关系起点。"",""requiresFullPayoffReconcile"":false},""continuePolicy"":""repair_once""},""score"":{""coherence"":85,""repetition"":90,""pacing"":82,""voice"":85,""engagement"":83,""overall"":84},""issues"":[{""severity"":""medium"",""category"":""logic"",""evidence"":""正文仅通过回忆提及陈默，其本人未以任何形式实际出场。"",""fixSuggestion"":""可在茶水间储物隔间段落前，通过阿条手机屏幕展示陈默发来的微信消息或朋友圈动态，使其在本章出场。""},{""severity"":""medium"",""category"":""logic"",""evidence"":""正文未展现阿条与同事表面和气、暗地比较的心理或行为细节，唯一相关的是对小菲的内心回应，但并未体现比较。"",""fixSuggestion"":""在阿条听到小菲抱怨王总时，插入一句阿条暗想自己上周被点名时小菲的得意眼神，或在走出茶水间后与李晴微笑时，加入一丝关于业绩或着装的暗自比较。""},{""severity"":""medium"",""category"":""logic"",""evidence"":""正文中陈默只出现在阿条的回忆和对白引用中，无独立行为或直接对话。"",""fixSuggestion"":""关键角色陈默必须在本章出场，但正文仅通过回忆提及，没有实际登场。""},{""severity"":""medium"",""category"":""pacing"",""evidence"":""阿条对李晴、小菲的互动均为表面和气的反应，无任何暗地比较的心理或观察描写。"",""fixSuggestion"":""必须保留阿条“表面和气暗地比较”的特质，但正文缺乏具体体现。""}],""auditReports"":[{""id"":""cmr25vuyl046sv16zyoiy5fgl"",""novelId"":""cmr23pgks000fv16zpwg1ms38"",""chapterId"":""cmr24zoaz01rhv16zmcjv20hl"",""auditType"":""character"",""overallScore"":84,""summary"":""章节主线完成度高，氛围营造和内心转折到位，但缺失陈默的出场义务，且阿条“表面和气暗地比较”的特质未得到保留，需通过局部补丁补齐。"",""legacyScoreJson"":""{\""coherence\"":85,\""repetition\"":90,\""pacing\"":82,\""voice\"":85,\""engagement\"":83,\""overall\"":84,\""acceptanceStatus\"":\""continue_with_risk\"",\""continuePolicy\"":\""repair_once\"",\""riskTags\"":[\""character_appearance_gap\"",\""trait_preservation\""],\""assetSyncRecommendation\"":{\""priority\"":\""normal\"",\""reason\"":\""本章为开篇，尚无复杂伏笔需要全量对账，仅需记录新登场角色状态和关系起点。\"",\""requiresFullPayoffReconcile\"":false},\""repairDirectives\"":[{\""mode\"":\""patch\"",\""target\"":\""character\"",\""instruction\"":\""在章节前半段（如储物隔间前或刚进入时）通过阿条手机屏幕或内心闪回插入陈默的远程出场（如一条微信消息），确保其作为角色在场。\""},{\""mode\"":\""patch\"",\""target\"":\""character\"",\""instruction\"":\""在阿条与小菲/李晴互动的段落，添加一两句内心比较（如业绩、外表或王总态度），强化“表面和气暗地比较”的特质。\""}]}"",""createdAt"":""2026-07-01T14:19:10.077Z"",""updatedAt"":""2026-07-01T14:19:10.077Z"",""issues"":[{""id"":""cmr25vuym046tv16z1vpsuhs0"",""reportId"":""cmr25vuyl046sv16zyoiy5fgl"",""auditType"":""character"",""severity"":""medium"",""code"":""character_missing_appearance"",""description"":""正文仅通过回忆提及陈默，其本人未以任何形式实际出场。"",""evidence"":""正文仅通过回忆提及陈默，其本人未以任何形式实际出场。"",""fixSuggestion"":""可在茶水间储物隔间段落前，通过阿条手机屏幕展示陈默发来的微信消息或朋友圈动态，使其在本章出场。"",""status"":""open"",""createdAt"":""2026-07-01T14:19:10.077Z"",""updatedAt"":""2026-07-01T14:19:10.077Z""},{""id"":""cmr25vuym046uv16zgoqyys02"",""reportId"":""cmr25vuyl046sv16zyoiy5fgl"",""auditType"":""character"",""severity"":""medium"",""code"":""trait_not_preserved"",""description"":""正文未展现阿条与同事表面和气、暗地比较的心理或行为细节，唯一相关的是对小菲的内心回应，但并未体现比较。"",""evidence"":""正文未展现阿条与同事表面和气、暗地比较的心理或行为细节，唯一相关的是对小菲的内心回应，但并未体现比较。"",""fixSuggestion"":""在阿条听到小菲抱怨王总时，插入一句阿条暗想自己上周被点名时小菲的得意眼神，或在走出茶水间后与李晴微笑时，加入一丝关于业绩或着装的暗自比较。"",""status"":""open"",""createdAt"":""2026-07-01T14:19:10.077Z"",""updatedAt"":""2026-07-01T14:19:10.077Z""}]}]}}",2026-07-01T14:19:10.106+00:00,2026-07-01T14:19:10.106+00:00
cmr25zj7k0475v16zdctyau2u,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,3c3019f2f15f206f02edadb142c0237cd232319a,quality_gate_acceptance,request_b7af9db2ba651ee9fd816e8c,succeeded,chapter_quality_gate,acceptance,"{""schemaVersion"":1,""gate"":""acceptance"",""contentHash"":""3c3019f2f15f206f02edadb142c0237cd232319a"",""requestKey"":""b7af9db2ba651ee9fd816e8c62975696dc012151"",""result"":{""assessment"":{""status"":""continue_with_risk"",""score"":{""coherence"":85,""repetition"":90,""pacing"":82,""voice"":83,""engagement"":86,""overall"":85},""summary"":""本章成功完成茶水间亲密接触与险些暴露的核心事件，阿条从被动到主动自觉“我们不能这样”，结尾明确两人必须继续扮演陌生人，构成有效钩子。所有must hit now均已实现，强约束无违背。"",""blockingIssues"":[],""repairDirectives"":[],""missingObligations"":[],""repairability"":""none"",""decisionReason"":""章节主线闭环，无明显剧情断裂或角色失真，不需局部补丁或暂停确认。"",""riskTags"":[],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""本章推进了男女主关系与职场张力，但未引入复杂新伏笔或大量需要交叉对账的线索。"",""requiresFullPayoffReconcile"":false},""continuePolicy"":""continue""},""score"":{""coherence"":85,""repetition"":90,""pacing"":82,""voice"":83,""engagement"":86,""overall"":85},""issues"":[],""auditReports"":[{""id"":""cmr25zj700474v16zdk8lixiz"",""novelId"":""cmr23pgks000fv16zpwg1ms38"",""chapterId"":""cmr24zoaz01rhv16zmcjv20hl"",""auditType"":""mode_fit"",""overallScore"":85,""summary"":""本章成功完成茶水间亲密接触与险些暴露的核心事件，阿条从被动到主动自觉“我们不能这样”，结尾明确两人必须继续扮演陌生人，构成有效钩子。所有must hit now均已实现，强约束无违背。"",""legacyScoreJson"":""{\""coherence\"":85,\""repetition\"":90,\""pacing\"":82,\""voice\"":83,\""engagement\"":86,\""overall\"":85,\""acceptanceStatus\"":\""continue_with_risk\"",\""continuePolicy\"":\""continue\"",\""riskTags\"":[],\""assetSyncRecommendation\"":{\""priority\"":\""normal\"",\""reason\"":\""本章推进了男女主关系与职场张力，但未引入复杂新伏笔或大量需要交叉对账的线索。\"",\""requiresFullPayoffReconcile\"":false},\""repairDirectives\"":[]}"",""createdAt"":""2026-07-01T14:22:01.452Z"",""updatedAt"":""2026-07-01T14:22:01.452Z"",""issues"":[]}]}}",2026-07-01T14:22:01.472+00:00,2026-07-01T14:22:01.472+00:00
cmr25zjci0486v16zlfrjt835,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,44feabdddd3a780ba11b8653,artifact_delta,adaptive,succeeded,chapter_background_sync,chapter_execution,"{""stateSnapshotId"":""cmr261wze048bv16zho19qw9d"",""characterResourceProposalCount"":0,""characterDynamicsCount"":1,""characterKnowledgeStateCount"":3,""payoffDeltaCount"":3,""canonicalCommittedCount"":10,""concreteFactCount"":0,""syncPlan"":{""stateSnapshot"":""write"",""characterResources"":""skip"",""payoffLedger"":""delta"",""characterDynamics"":""write"",""reason"":""本章有角色状态、关系动态和伏笔变化，没有引入新资源。""},""confidence"":0.9}",2026-07-01T14:22:01.649+00:00,2026-07-01T14:23:52.829+00:00
cmr266ajt049jv16z4rqyrq3x,cmr23pgks000fv16zpwg1ms38,cmr24zob501riv16zlk7xxqvy,eef899b5e0fef12731e3d8d79741ee28e7cdf6c6,quality_gate_acceptance,request_b7af9db2ba651ee9fd816e8c,succeeded,chapter_quality_gate,acceptance,"{""schemaVersion"":1,""gate"":""acceptance"",""contentHash"":""eef899b5e0fef12731e3d8d79741ee28e7cdf6c6"",""requestKey"":""b7af9db2ba651ee9fd816e8c62975696dc012151"",""result"":{""assessment"":{""status"":""accepted"",""score"":{""coherence"":92,""repetition"":90,""pacing"":88,""voice"":93,""engagement"":91,""overall"":91},""summary"":""章节完整履行了所有义务：陌生演技展现充分，心理转变细腻，结尾悬念设置到位，伏笔兑现和约束遵守均无遗漏。可以继续推进。"",""blockingIssues"":[],""repairDirectives"":[],""missingObligations"":[],""repairability"":""none"",""decisionReason"":""所有 must hit now 必须推进项均已完成，角色出场、目标变化、payoff touch、边界约束全部满足，无阻断性问题。"",""riskTags"":[],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""本章推进了主线但没有明显伏笔对账风险，常规同步即可。"",""requiresFullPayoffReconcile"":false},""continuePolicy"":""continue""},""score"":{""coherence"":92,""repetition"":90,""pacing"":88,""voice"":93,""engagement"":91,""overall"":91},""issues"":[],""auditReports"":[{""id"":""cmr266aji049iv16zjv4o5lr8"",""novelId"":""cmr23pgks000fv16zpwg1ms38"",""chapterId"":""cmr24zob501riv16zlk7xxqvy"",""auditType"":""mode_fit"",""overallScore"":91,""summary"":""章节完整履行了所有义务：陌生演技展现充分，心理转变细腻，结尾悬念设置到位，伏笔兑现和约束遵守均无遗漏。可以继续推进。"",""legacyScoreJson"":""{\""coherence\"":92,\""repetition\"":90,\""pacing\"":88,\""voice\"":93,\""engagement\"":91,\""overall\"":91,\""acceptanceStatus\"":\""accepted\"",\""continuePolicy\"":\""continue\"",\""riskTags\"":[],\""assetSyncRecommendation\"":{\""priority\"":\""normal\"",\""reason\"":\""本章推进了主线但没有明显伏笔对账风险，常规同步即可。\"",\""requiresFullPayoffReconcile\"":false},\""repairDirectives\"":[]}"",""createdAt"":""2026-07-01T14:27:16.830Z"",""updatedAt"":""2026-07-01T14:27:16.830Z"",""issues"":[]}]}}",2026-07-01T14:27:16.841+00:00,2026-07-01T14:27:16.841+00:00
cmr266ami04aov16z02avnzgz,cmr23pgks000fv16zpwg1ms38,cmr24zob501riv16zlk7xxqvy,1244e1f4a8f5d5cc339d9d12,artifact_delta,adaptive,succeeded,chapter_background_sync,chapter_execution,"{""stateSnapshotId"":""cmr269sr004b3v16zvdhpsups"",""characterResourceProposalCount"":2,""characterDynamicsCount"":1,""characterKnowledgeStateCount"":2,""payoffDeltaCount"":4,""canonicalCommittedCount"":6,""concreteFactCount"":4,""syncPlan"":{""stateSnapshot"":""write"",""characterResources"":""write"",""payoffLedger"":""delta"",""characterDynamics"":""write"",""reason"":""本章有新的关系动态、资源揭示和伏笔推进，但无需全量对账。""},""confidence"":0.9}",2026-07-01T14:27:16.938+00:00,2026-07-01T14:30:00.565+00:00
cmr26bbdv04d3v16z9ihv9e7g,cmr23pgks000fv16zpwg1ms38,cmr24zob701rjv16zoa3pmbkg,334475b87d9b0f2b0f679b78,artifact_delta,adaptive,succeeded,chapter_background_sync,chapter_execution,"{""stateSnapshotId"":""cmr26feyn04ebv16zh84ifjuv"",""characterResourceProposalCount"":1,""characterDynamicsCount"":1,""characterKnowledgeStateCount"":0,""payoffDeltaCount"":7,""canonicalCommittedCount"":11,""concreteFactCount"":6,""syncPlan"":{""stateSnapshot"":""write"",""characterResources"":""write"",""payoffLedger"":""delta"",""characterDynamics"":""write"",""reason"":""本章完成秘密关系确立，产生新资源（草莓糖纸），更新多个已有伏笔并创建新伏笔，关系阶段发生质变。""},""confidence"":0.92}",2026-07-01T14:31:11.203+00:00,2026-07-01T14:34:23.743+00:00
cmr26cykf04d7v16zso7wybb6,cmr23pgks000fv16zpwg1ms38,cmr24zob701rjv16zoa3pmbkg,ce866134da0592964821d1f0a1819d3cef8e1f3d,quality_gate_acceptance,request_b7af9db2ba651ee9fd816e8c,succeeded,chapter_quality_gate,acceptance,"{""schemaVersion"":1,""gate"":""acceptance"",""contentHash"":""ce866134da0592964821d1f0a1819d3cef8e1f3d"",""requestKey"":""b7af9db2ba651ee9fd816e8c62975696dc012151"",""result"":{""assessment"":{""status"":""continue_with_risk"",""score"":{""coherence"":85,""repetition"":88,""pacing"":80,""voice"":88,""engagement"":85,""overall"":85},""summary"":""本章主线成立，阿条心理转折和规则确立完成度好，但结尾钩子偏乐观，缺少对规则持续性的隐隐忧虑，且同事怀疑升级的压力 touch 未在本章体现。"",""blockingIssues"":[],""repairDirectives"":[],""missingObligations"":[],""repairability"":""none"",""decisionReason"":""结尾钩子可通过后续章节自然强化，暂不需要局部修补或暂停人工确认。"",""riskTags"":[""ending_hook_soft"",""missing_pressure_touch""],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""本章完成了暗语铺垫（苏打水候选），有可记录的剧情推进，无需全量伏笔对账。"",""requiresFullPayoffReconcile"":false},""continuePolicy"":""continue""},""score"":{""coherence"":85,""repetition"":88,""pacing"":80,""voice"":88,""engagement"":85,""overall"":85},""issues"":[],""auditReports"":[{""id"":""cmr26cyk304d6v16zussb7oqw"",""novelId"":""cmr23pgks000fv16zpwg1ms38"",""chapterId"":""cmr24zob701rjv16zoa3pmbkg"",""auditType"":""mode_fit"",""overallScore"":85,""summary"":""本章主线成立，阿条心理转折和规则确立完成度好，但结尾钩子偏乐观，缺少对规则持续性的隐隐忧虑，且同事怀疑升级的压力 touch 未在本章体现。"",""legacyScoreJson"":""{\""coherence\"":85,\""repetition\"":88,\""pacing\"":80,\""voice\"":88,\""engagement\"":85,\""overall\"":85,\""acceptanceStatus\"":\""continue_with_risk\"",\""continuePolicy\"":\""continue\"",\""riskTags\"":[\""ending_hook_soft\"",\""missing_pressure_touch\""],\""assetSyncRecommendation\"":{\""priority\"":\""normal\"",\""reason\"":\""本章完成了暗语铺垫（苏打水候选），有可记录的剧情推进，无需全量伏笔对账。\"",\""requiresFullPayoffReconcile\"":false},\""repairDirectives\"":[]}"",""createdAt"":""2026-07-01T14:32:27.891Z"",""updatedAt"":""2026-07-01T14:32:27.891Z"",""issues"":[]}]}}",2026-07-01T14:32:27.903+00:00,2026-07-01T14:32:27.903+00:00
cmr26cym804dzv16zvi32tyel,cmr23pgks000fv16zpwg1ms38,cmr24zob701rjv16zoa3pmbkg,53001ab493737a20cf2819c1,artifact_delta,adaptive,succeeded,chapter_background_sync,chapter_execution,"{""stateSnapshotId"":""cmr26feyn04ebv16zh84ifjuv"",""characterResourceProposalCount"":1,""characterDynamicsCount"":1,""characterKnowledgeStateCount"":1,""payoffDeltaCount"":5,""canonicalCommittedCount"":6,""concreteFactCount"":3,""syncPlan"":{""stateSnapshot"":""write"",""characterResources"":""write"",""payoffLedger"":""delta"",""characterDynamics"":""write"",""reason"":""本章有角色状态变化、新资源引入、伏笔推进和新设伏笔、关系阶段变化。""},""confidence"":0.9}",2026-07-01T14:32:27.968+00:00,2026-07-01T14:34:22.643+00:00
cmr26fu4w04gpv16zuvhu7a2m,cmr23pgks000fv16zpwg1ms38,cmr24zob701rjv16zoa3pmbkg,334475b87d9b0f2b0f679b78,payoff_ledger_full_reconcile,adaptive,succeeded,chapter_background_sync,chapter_execution,"{""trigger"":""adaptive_three_chapter_checkpoint""}",2026-07-01T14:34:42.128+00:00,2026-07-01T14:34:42.128+00:00
cmr26fuht04h3v16zikhv3nyi,cmr23pgks000fv16zpwg1ms38,cmr24zob701rjv16zoa3pmbkg,53001ab493737a20cf2819c1,payoff_ledger_full_reconcile,adaptive,succeeded,chapter_background_sync,chapter_execution,"{""trigger"":""adaptive_three_chapter_checkpoint""}",2026-07-01T14:34:42.592+00:00,2026-07-01T14:34:42.592+00:00
