id,novelId,ledgerKey,title,summary,scopeType,currentStatus,targetStartChapterOrder,targetEndChapterOrder,firstSeenChapterOrder,lastTouchedChapterOrder,lastTouchedChapterId,setupChapterId,payoffChapterId,lastSnapshotId,sourceRefsJson,evidenceJson,riskSignalsJson,statusReason,confidence,createdAt,updatedAt
cmr24eebf00fov16z7q4v9a9j,cmr23pgks000fv16zpwg1ms38,first_trust_crisis,第一次因隐瞒引发的信任危机,两人首次激烈争吵，关系出现裂痕。已通过第24-33章兑现。,book,paid_off,,,1,33,cmr24zod201sdv16zyjm3gz4z,cmr24zoaz01rhv16zmcjv20hl,cmr24zod201sdv16zyjm3gz4z,cmr8lt4hp0dinv16ztw5fne9q,"[{""kind"":""major_payoff"",""refLabel"":""第一次因隐瞒引发的信任危机"",""chapterOrder"":1,""volumeSortOrder"":1,""chapterId"":""cmr24zoaz01rhv16zmcjv20hl""}]","[{""summary"":""第33章信任碎成三个字，争吵达到顶点。"",""chapterOrder"":33,""chapterId"":""cmr24zod201sdv16zyjm3gz4z""}]",[],已通过第24-33章争吵链条兑现。,0.95,2026-07-01T13:37:35.739+00:00,2026-07-06T02:31:52.524+00:00
cmr24eebn00fpv16zvuqfa09v,cmr23pgks000fv16zpwg1ms38,secret_semi_exposed,秘密因突发事件被半公开,朋友圈和职场压力拉满，面临毁灭性后果。尚未触发半公开事件。,book,pending_payoff,35,40,1,40,cmr252pek0213v16zuwcfd0ck,cmr24zoaz01rhv16zmcjv20hl,,cmr8lt4hp0dinv16ztw5fne9q,"[{""kind"":""major_payoff"",""refLabel"":""秘密因突发事件被半公开"",""chapterOrder"":1,""volumeSortOrder"":1,""chapterId"":""cmr24zoaz01rhv16zmcjv20hl""},{""kind"":""open_conflict"",""refLabel"":""payoff_missing_progress: 秘密因突发事件被半公开"",""chapterOrder"":40,""volumeSortOrder"":1,""chapterId"":""cmr252pek0213v16zuwcfd0ck""}]","[{""summary"":""同事怀疑已升级，但尚未触发半公开事件。"",""chapterOrder"":40,""chapterId"":""cmr252pek0213v16zuwcfd0ck""}]","[{""code"":""payoff_missing_progress"",""severity"":""medium"",""summary"":""同事怀疑已升级，但尚未触发半公开事件。""}]",同事怀疑持续升温，但未形成半公开引爆点。,0.8,2026-07-01T13:37:35.747+00:00,2026-07-06T02:31:52.524+00:00
cmr24eebq00fqv16zhozelo3y,cmr23pgks000fv16zpwg1ms38,realization_of_fake_investment,发现对方从未真正投入,最终发现对方可能从未真正投入，内心彻底崩溃，在幻灭中清醒决断。,book,setup,,,1,9,cmr24zobj01rpv16zet3olxnq,cmr24zoaz01rhv16zmcjv20hl,,cmr28ct4i054lv16zo559rqej,"[{""kind"":""major_payoff"",""refLabel"":""发现对方可能从未真正投入，内心崩溃"",""chapterOrder"":0,""volumeSortOrder"":1,""chapterId"":null}]",[],"[{""code"":""sync_stale"",""severity"":""medium"",""summary"":""本轮 AI 对账没有再次命中这条伏笔，已保留旧账本并标记为 stale，等待下一次同步确认。"",""stale"":true}]",故事尚处早期，未触及此发现。,,2026-07-01T13:37:35.750+00:00,2026-07-06T02:31:52.524+00:00
cmr24eebu00frv16zui7vmvz1,cmr23pgks000fv16zpwg1ms38,ali_hidden_reason,阿力隐瞒的真实原因,阿力为何持续回避与疏远，部分揭示可能与外部机会有关。,volume,pending_payoff,35,40,14,40,cmr252pek0213v16zuwcfd0ck,cmr24zoc101ruv16zr0qqiis6,,cmr8lt4hp0dinv16ztw5fne9q,"[{""kind"":""volume_open_payoff"",""refLabel"":""阿力隐瞒的真实原因"",""chapterOrder"":1,""volumeSortOrder"":1,""chapterId"":""cmr24zoaz01rhv16zmcjv20hl""},{""kind"":""open_conflict"",""refLabel"":""payoff_missing_progress: 阿力隐瞒的真实原因"",""chapterOrder"":40,""volumeSortOrder"":1,""chapterId"":""cmr252pek0213v16zuwcfd0ck""}]","[{""summary"":""第38章暗示阿力可能在寻求外部机会，但原因未完全揭示。"",""chapterOrder"":38,""chapterId"":""cmr252peh0211v16zss2kflem""}]","[{""code"":""payoff_missing_progress"",""severity"":""medium"",""summary"":""卷内已临近结尾，原因仍未揭示。""}]",部分揭示但未完全说明。,0.7,2026-07-01T13:37:35.754+00:00,2026-07-06T02:31:52.524+00:00
cmr24eebx00fsv16z65hnqzwm,cmr23pgks000fv16zpwg1ms38,colleague_suspicion_escalation,同事的怀疑是否升级,同事怀疑持续升温，但未形成半公开引爆点。,volume,pending_payoff,35,40,9,40,cmr252pek0213v16zuwcfd0ck,cmr24zobj01rpv16zet3olxnq,cmr24zobj01rpv16zet3olxnq,cmr8lt4hp0dinv16ztw5fne9q,"[{""kind"":""volume_open_payoff"",""refLabel"":""同事的怀疑是否升级"",""chapterOrder"":1,""volumeSortOrder"":1,""chapterId"":""cmr24zoaz01rhv16zmcjv20hl""},{""kind"":""open_conflict"",""refLabel"":""payoff_missing_progress: 同事的怀疑是否升级"",""chapterOrder"":40,""volumeSortOrder"":1,""chapterId"":""cmr252pek0213v16zuwcfd0ck""}]","[{""summary"":""第40章同事怀疑已升级，但未形成半公开引爆点。"",""chapterOrder"":40,""chapterId"":""cmr252pek0213v16zuwcfd0ck""}]","[{""code"":""payoff_missing_progress"",""severity"":""medium"",""summary"":""怀疑持续升温但未形成半公开引爆点。""}]",怀疑持续升温，但未形成半公开引爆点。,0.8,2026-07-01T13:37:35.757+00:00,2026-07-06T02:31:52.524+00:00
cmr252ohr020sv16zmln6n56c,cmr23pgks000fv16zpwg1ms38,real_intention_revealed,发现对方可能从未真正投入,内心彻底崩溃，在幻灭中清醒决断。阿力真实态度仍未揭示。,book,pending_payoff,35,40,1,40,cmr252pek0213v16zuwcfd0ck,cmr24zoaz01rhv16zmcjv20hl,,cmr8lt4hp0dinv16ztw5fne9q,"[{""kind"":""major_payoff"",""refLabel"":""发现对方可能从未真正投入"",""chapterOrder"":1,""volumeSortOrder"":1,""chapterId"":""cmr24zoaz01rhv16zmcjv20hl""},{""kind"":""open_conflict"",""refLabel"":""payoff_missing_progress: 发现对方可能从未真正投入"",""chapterOrder"":40,""volumeSortOrder"":1,""chapterId"":""cmr252pek0213v16zuwcfd0ck""}]","[{""summary"":""阿力真实态度仍未揭示，阿条已开始主动筑墙。"",""chapterOrder"":40,""chapterId"":""cmr252pek0213v16zuwcfd0ck""}]","[{""code"":""payoff_missing_progress"",""severity"":""medium"",""summary"":""阿力真实态度仍未揭示，需在后续明确。""}]",阿力真实态度未揭示，但阿条已开始主动筑墙。,0.75,2026-07-01T13:56:28.671+00:00,2026-07-06T02:31:52.524+00:00
cmr252oi0020uv16z0e8biytc,cmr23pgks000fv16zpwg1ms38,ali_real_attitude,阿力在这段关系中的真实态度,阿力是否真正投入，还是只是享受禁忌刺激。,volume,pending_payoff,30,40,14,30,cmr24zocw01sav16z8wprb5vx,cmr24zoc101ruv16zr0qqiis6,,cmr35nume0c0qv16zavwu8h97,"[{""kind"":""volume_open_payoff"",""refLabel"":""他在这段关系中的真实态度"",""chapterOrder"":1,""volumeSortOrder"":1,""chapterId"":""cmr24zoaz01rhv16zmcjv20hl""}]","[{""summary"":""第32章拆穿最后一层谎言后，阿力态度仍模糊。"",""chapterOrder"":32,""chapterId"":""cmr24zod001scv16zh2hhfj2q""}]","[{""code"":""sync_stale"",""severity"":""medium"",""summary"":""本轮 AI 对账没有再次命中这条伏笔，已保留旧账本并标记为 stale，等待下一次同步确认。"",""stale"":true}]",尚未明确揭示。,,2026-07-01T13:56:28.680+00:00,2026-07-06T02:31:52.524+00:00
cmr261x3m0490v16zifo5mr7l,cmr23pgks000fv16zpwg1ms38,chenmo_message_hook,陈默的问候消息,陈默发来微信问候，阿条回复冷淡，已兑现第一章伏笔，但本章结尾陈默再次问候，暗示后续联系可能恢复。,volume,setup,4,15,2,3,cmr24zob701rjv16zoa3pmbkg,cmr24zob701rjv16zoa3pmbkg,cmr24zob501riv16zlk7xxqvy,cmr26feyn04ebv16zh84ifjuv,"[{""kind"":""chapter_payoff_ref"",""refId"":null,""refLabel"":""第3章《天台夜话》"",""chapterId"":""cmr24zob701rjv16zoa3pmbkg"",""chapterOrder"":3,""volumeId"":null,""volumeSortOrder"":null}]","[{""summary"":""陈默消息再次弹出：“这几天还好吗？杭州天气转凉了。”阿条未立即回复。"",""chapterOrder"":3,""chapterId"":""cmr24zob701rjv16zoa3pmbkg""}]","[{""code"":""sync_stale"",""severity"":""medium"",""summary"":""本轮 AI 对账没有再次命中这条伏笔，已保留旧账本并标记为 stale，等待下一次同步确认。"",""stale"":true}]",陈默消息在阿条确立新关系后再次出现，可能成为未来干扰因素。,0.85,2026-07-01T14:23:52.786+00:00,2026-07-06T02:31:52.524+00:00
cmr261x3s0491v16z1he5o8jz,cmr23pgks000fv16zpwg1ms38,forbidden_love_awareness,阿条的禁忌自觉,阿条彻底克服‘我们不能这样’的内心挣扎，完全接纳并主导秘密关系。,chapter,paid_off,4,10,1,4,cmr24zob901rkv16z4obgdvth,cmr24zoaz01rhv16zmcjv20hl,cmr24zob901rkv16z4obgdvth,cmr26psce04mov16zi89zlpdj,"[{""kind"":""chapter_payoff_ref"",""refId"":null,""refLabel"":""第4章《编码暗语》"",""chapterId"":""cmr24zob901rkv16z4obgdvth"",""chapterOrder"":4,""volumeId"":null,""volumeSortOrder"":null}]","[{""summary"":""阿条主动说出‘菠萝包’暗语，享受游戏，无任何禁忌犹豫。"",""chapterOrder"":4,""chapterId"":""cmr24zob901rkv16z4obgdvth""}]","[{""code"":""sync_stale"",""severity"":""medium"",""summary"":""本轮 AI 对账没有再次命中这条伏笔，已保留旧账本并标记为 stale，等待下一次同步确认。"",""stale"":true}]",阿条已从被动转为主动，禁忌自觉不再束缚。,0.9,2026-07-01T14:23:52.792+00:00,2026-07-01T14:42:36.344+00:00
cmr269sv004buv16zrg16bz3n,cmr23pgks000fv16zpwg1ms38,ali_night_invitation,阿力的夜晚邀约,阿力在第2章下班前私信邀约，本章阿条赴天台私会，确立关系。,chapter,paid_off,3,3,2,3,cmr24zob701rjv16zoa3pmbkg,cmr24zob501riv16zlk7xxqvy,cmr24zob701rjv16zoa3pmbkg,cmr26feyn04ebv16zh84ifjuv,"[{""kind"":""chapter_payoff_ref"",""refId"":null,""refLabel"":""第3章《天台夜话》"",""chapterId"":""cmr24zob701rjv16zoa3pmbkg"",""chapterOrder"":3,""volumeId"":null,""volumeSortOrder"":null}]","[{""summary"":""阿条前往天台与阿力见面，并主导制定秘密恋爱规则。"",""chapterOrder"":3,""chapterId"":""cmr24zob701rjv16zoa3pmbkg""}]","[{""code"":""sync_stale"",""severity"":""medium"",""summary"":""本轮 AI 对账没有再次命中这条伏笔，已保留旧账本并标记为 stale，等待下一次同步确认。"",""stale"":true}]",阿条赴约，邀约兑现并推动关系突破。,0.95,2026-07-01T14:30:00.540+00:00,2026-07-01T14:34:59.261+00:00
