id,artifactId,dependsOnArtifactId,dependsOnVersion,createdAt
cmr242m64007rv16z9f5bqvb3,character_governance_state:novel:cmr23pgks000fv16zpwg1ms38:Character:novel:cmr23pgks000fv16zpwg1ms38,story_macro:novel:cmr23pgks000fv16zpwg1ms38:StoryMacroPlan:cmr23qjo9000tv16zf36f7gb0,1,2026-07-01T13:28:26.044+00:00
cmr24slwn01abv16zbe4ah1su,reader_promise:novel:cmr23pgks000fv16zpwg1ms38:PayoffLedgerItem:cmr24eebx00fsv16z65hnqzwm,book_contract:novel:cmr23pgks000fv16zpwg1ms38:BookContract:cmr23r62c001jv16zvqit3583,1,2026-07-01T13:48:38.759+00:00
cmr24slwo01acv16zhy80u9t2,reader_promise:novel:cmr23pgks000fv16zpwg1ms38:PayoffLedgerItem:cmr24eebx00fsv16z65hnqzwm,story_macro:novel:cmr23pgks000fv16zpwg1ms38:StoryMacroPlan:cmr23qjo9000tv16zf36f7gb0,1,2026-07-01T13:48:38.760+00:00
cmr24slwq01adv16zhjpji8u3,reader_promise:novel:cmr23pgks000fv16zpwg1ms38:PayoffLedgerItem:cmr24eebf00fov16z7q4v9a9j,book_contract:novel:cmr23pgks000fv16zpwg1ms38:BookContract:cmr23r62c001jv16zvqit3583,1,2026-07-01T13:48:38.762+00:00
cmr24slwr01aev16z880cg45e,reader_promise:novel:cmr23pgks000fv16zpwg1ms38:PayoffLedgerItem:cmr24eebf00fov16z7q4v9a9j,story_macro:novel:cmr23pgks000fv16zpwg1ms38:StoryMacroPlan:cmr23qjo9000tv16zf36f7gb0,1,2026-07-01T13:48:38.763+00:00
cmr24slwx01ahv16zdype0a6v,reader_promise:novel:cmr23pgks000fv16zpwg1ms38:PayoffLedgerItem:cmr24eebn00fpv16zvuqfa09v,book_contract:novel:cmr23pgks000fv16zpwg1ms38:BookContract:cmr23r62c001jv16zvqit3583,1,2026-07-01T13:48:38.769+00:00
cmr24slwz01aiv16zvzrtcgve,reader_promise:novel:cmr23pgks000fv16zpwg1ms38:PayoffLedgerItem:cmr24eebn00fpv16zvuqfa09v,story_macro:novel:cmr23pgks000fv16zpwg1ms38:StoryMacroPlan:cmr23qjo9000tv16zf36f7gb0,1,2026-07-01T13:48:38.771+00:00
cmr25ps2n03tov16zp99tmioo,reader_promise:chapter:cmr24zod601sfv16zz52rk4y9:PayoffLedgerItem:cmr252oi0020uv16z0e8biytc,book_contract:novel:cmr23pgks000fv16zpwg1ms38:BookContract:cmr23r62c001jv16zvqit3583,1,2026-07-01T14:14:26.399+00:00
cmr25ps2p03tpv16zwpq56mc1,reader_promise:chapter:cmr24zod601sfv16zz52rk4y9:PayoffLedgerItem:cmr252oi0020uv16z0e8biytc,story_macro:novel:cmr23pgks000fv16zpwg1ms38:StoryMacroPlan:cmr23qjo9000tv16zf36f7gb0,1,2026-07-01T14:14:26.401+00:00
cmr25ps2r03tqv16zx0fzwbnm,reader_promise:chapter:cmr24zod601sfv16zz52rk4y9:PayoffLedgerItem:cmr24eebx00fsv16z65hnqzwm,book_contract:novel:cmr23pgks000fv16zpwg1ms38:BookContract:cmr23r62c001jv16zvqit3583,1,2026-07-01T14:14:26.403+00:00
