id,novelId,relationId,sourceCharacterId,targetCharacterId,volumeId,chapterId,chapterOrder,stageLabel,stageSummary,nextTurnPoint,sourceType,confidence,isCurrent,createdAt,updatedAt
cmr269svd04bvv16z91aai25c,cmr23pgks000fv16zpwg1ms38,cmr23zj680055v16zk7wavd5w,cmr23zj4j004tv16zlc1ewt6u,cmr23zj4y004uv16zh1dm72nm,legacy-volume-c293a222-5952-4b60-af28-b01be6bda06d,cmr24zob501riv16zlk7xxqvy,2,秘密共犯,两人在同事面前成功表演陌生人，阿力用暗语“演得不错”认可，关系从暧昧紧张升级为默契共犯，共同享受秘密游戏。,,chapter_artifact_delta,,0,2026-07-01T14:30:00.553+00:00,2026-07-01T14:34:22.636+00:00
cmr26ffy404g9v16zl7s6te8n,cmr23pgks000fv16zpwg1ms38,cmr23zj680055v16zk7wavd5w,cmr23zj4j004tv16zlc1ewt6u,cmr23zj4y004uv16zh1dm72nm,legacy-volume-c293a222-5952-4b60-af28-b01be6bda06d,cmr24zob701rjv16zoa3pmbkg,3,秘密恋人,两人从暧昧共犯正式确立为秘密恋人关系，受阿条制定的职场隐蔽规则约束，阿力接受并请求坦诚。,,chapter_artifact_delta,,0,2026-07-01T14:34:23.740+00:00,2026-07-01T14:38:27.882+00:00
cmr26y8w604qpv16zffc9b0kz,cmr23pgks000fv16zpwg1ms38,cmr23zj680055v16zk7wavd5w,cmr23zj4j004tv16zlc1ewt6u,cmr23zj4y004uv16zh1dm72nm,legacy-volume-c293a222-5952-4b60-af28-b01be6bda06d,cmr24zobb01rlv16z1chjyonq,5,冒险默契升级,两人在茶水间急智脱险后，用暗语交换感受，确认默契升级，刺激成瘾，阿条期待下一次冒险。,,chapter_artifact_delta,,0,2026-07-01T14:49:01.062+00:00,2026-07-01T14:54:04.548+00:00
cmr274r2e04tgv16z0j0ma8lg,cmr23pgks000fv16zpwg1ms38,cmr23zj680055v16zk7wavd5w,cmr23zj4j004tv16zlc1ewt6u,cmr23zj4y004uv16zh1dm72nm,legacy-volume-c293a222-5952-4b60-af28-b01be6bda06d,cmr24zobd01rmv16z1nhh9ss5,6,心照不宣的共谋,两人通过深夜消息确认彼此在享受同一场秘密游戏，默契从操作层面上升到心理层面，关系进入更投入的隐蔽阶段。,,chapter_artifact_delta,,0,2026-07-01T14:54:04.550+00:00,2026-07-01T15:00:14.743+00:00
cmr27copk04wvv16zum6vu0oc,cmr23pgks000fv16zpwg1ms38,cmr23zj680055v16zk7wavd5w,cmr23zj4j004tv16zlc1ewt6u,cmr23zj4y004uv16zh1dm72nm,legacy-volume-c293a222-5952-4b60-af28-b01be6bda06d,cmr24zobf01rnv16zemm40alv,7,占有欲入侵,阿条因小菲的接近产生嫉妒，刻意测试阿力反应；阿力以“今天稳”维持模糊，关系首次出现不和谐音，甜蜜表象下猜疑滋生。,,chapter_artifact_delta,,0,2026-07-01T15:00:14.744+00:00,2026-07-01T15:17:20.565+00:00
cmr27yo8k04zhv16zaj57o06i,cmr23pgks000fv16zpwg1ms38,,cmr23zj5u0052v16zbgy6zbi1,cmr23zj4y004uv16zh1dm72nm,legacy-volume-c293a222-5952-4b60-af28-b01be6bda06d,cmr24zobh01rov16z0c34j46e,8,积极追求,小菲通过咖啡、主动组队双人三足、攀岩时寻求注视等行为，明显表达好感，阿力未拒绝并短暂扶腰配合。,,chapter_artifact_delta,,1,2026-07-01T15:17:20.564+00:00,2026-07-01T15:17:20.564+00:00
cmr27yo8n04ziv16zxtwdk0o9,cmr23pgks000fv16zpwg1ms38,cmr23zj680055v16zk7wavd5w,cmr23zj4j004tv16zlc1ewt6u,cmr23zj4y004uv16zh1dm72nm,legacy-volume-c293a222-5952-4b60-af28-b01be6bda06d,cmr24zobh01rov16z0c34j46e,8,距离测试下的疲惫共鸣,阿条刻意保持距离，阿力通过暗语和攀岩对视暗中确认默契，但阿条感受到的不再是刺激，而是伪装带来的巨大孤独与疲惫。,,chapter_artifact_delta,,0,2026-07-01T15:17:20.567+00:00,2026-07-01T15:22:15.835+00:00
cmr28502l0527v16z8kz2ercw,cmr23pgks000fv16zpwg1ms38,cmr23zj680055v16zk7wavd5w,cmr23zj4j004tv16zlc1ewt6u,cmr23zj4y004uv16zh1dm72nm,legacy-volume-c293a222-5952-4b60-af28-b01be6bda06d,cmr24zobj01rpv16zet3olxnq,9,冷落升级,阿力在公共场合完全无视阿条的互动信号，拒绝接文件，不给眼神，与之前暗语默契形成对比，关系从秘密默契转向公开冷落。,,chapter_artifact_delta,,0,2026-07-01T15:22:15.837+00:00,2026-07-01T15:28:20.292+00:00
cmr28502o0528v16z8x0scmf9,cmr23pgks000fv16zpwg1ms38,cmr23zj690056v16zdqv9w7de,cmr23zj4j004tv16zlc1ewt6u,cmr23zj58004wv16zpaestpwt,legacy-volume-c293a222-5952-4b60-af28-b01be6bda06d,cmr24zobj01rpv16zet3olxnq,9,怀疑浮现,李晴的试探让阿条意识到好友开始怀疑两人关系，且李晴可能私下与阿力沟通，两人关系从单纯友好转向带有观察与计算。,,chapter_artifact_delta,,0,2026-07-01T15:22:15.840+00:00,2026-07-02T04:53:47.126+00:00
cmr28ctae055lv16zutx050i5,cmr23pgks000fv16zpwg1ms38,cmr23zj680055v16zk7wavd5w,cmr23zj4j004tv16zlc1ewt6u,cmr23zj4y004uv16zh1dm72nm,legacy-volume-c293a222-5952-4b60-af28-b01be6bda06d,cmr24zobt01rqv16zbto61e2r,10,回避期,阿力持续回避与拒绝私下邀约，阿条从困惑转为不安，猜疑萌芽，决定不再主动。,,chapter_artifact_delta,,0,2026-07-01T15:28:20.294+00:00,2026-07-01T15:34:43.150+00:00
