id,planId,sortOrder,title,objective,conflict,reveal,emotionBeat,createdAt,updatedAt
cmr2631n2049bv16z5xqrcmdr,cmr2631mu049av16znb1g6lyy,1,余悸未消,从阿条回到工位开始，展现她努力平复心跳、观察同事反应，同时被隔间回忆侵扰，强化“我们不能这样”的禁忌自觉,阿条渴望回味亲密接触的悸动 vs. 理智警告她必须彻底抹去痕迹、扮演正常,阿条意识到同事李晴等人完全没有异样，秘密暂时安全，但她更深刻感受到两人之间从此多了一层危险的纽带,紧张—后怕—压抑的悸动—强迫冷静,2026-07-01T14:24:45.326+00:00,2026-07-01T14:24:45.326+00:00
cmr2631n2049cv16zw4ens7lb,cmr2631mu049av16znb1g6lyy,2,当众的陌生演技,通过午餐场景，让阿条和阿力在同事环绕下完成第一次默契的“陌生人表演”，用非语言细节传递秘密张力，并让阿条初次感受到这种表演带来的刺激,同事们的自然交谈、潜在的怀疑目光 vs. 两人必须装作普通同事，不能有任何异常交集,阿力递餐具时指尖轻触、一次短暂对视，让阿条读到他眼底的冷静与隐蔽热情，她发现这种当众偷渡秘密的游戏令人上瘾,忐忑—观察—试探—隐秘的兴奋,2026-07-01T14:24:45.326+00:00,2026-07-01T14:24:45.326+00:00
cmr2631n2049dv16zjieu4rxy,cmr2631mu049av16znb1g6lyy,3,陈默的意外消息,借陈默的微信问候做一个外部扰动，检验阿条此刻的情感重心已偏移，同时为她下一阶段主动享受秘密游戏提供内心支点,过去熟悉而安全的问候 vs. 当下危险却刺激的秘密关系，阿条必须在内心迅速做出情感站位,阿条对陈默的消息只有短暂的怀念，很快被刚尝到的刺激覆盖，她意识到自己更贪恋阿力带来的未知与战栗,意外—短暂恍惚—切断怀念—重新锚定在当下的刺激,2026-07-01T14:24:45.326+00:00,2026-07-01T14:24:45.326+00:00
cmr2631n2049ev16zn71dzug3,cmr2631mu049av16znb1g6lyy,4,私信邀约,以阿力下班前的私信作为章节结尾，制造强烈悬念，让阿条从白天的被动配合转为面对“下一步”的主动期待,阿条已经尝到刺激的甜头，想要更多 vs. 她知道答应私见意味着危险升级，但无法抗拒,阿力选择在工作时间刚结束、人群未散时发信，显示他游刃有余的掌控感，也暗示他对阿条的把握,期待—紧张—禁忌的颤栗—迫不及待的悬念,2026-07-01T14:24:45.326+00:00,2026-07-01T14:24:45.326+00:00
cmr26gwjp04hlv16zz32zurvd,cmr26gwjm04hkv16zt3lgscet,1,暗号设计,展现阿条上班后打开IM，主动设计一套隐秘的书写暗语系统，并测试与阿力的默契。,内驱：阿条想用暗语绑紧关系，但需要确保系统不露痕迹；阿力配合但回复简短，阿条需判断他是否真心投入。,暗语系统建构成型（例如用特定表情包、错别字、文件命名代表不同意思），阿力测试成功，但回复中缺少她期待的附加热情，暗示他仍在适应规则。,兴奋中带着警觉，像在写只有两人懂的密电码，手指在键盘上轻快又小心，收到阿力确认回复时心头一甜，但又迅速压下翘起的嘴角。,2026-07-01T14:35:31.909+00:00,2026-07-01T14:35:31.909+00:00
cmr26gwjp04hmv16zhfzfsw2d,cmr26gwjm04hkv16zt3lgscet,2,晨会传讯,在部门晨会中，利用自己座位视角与PPT翻页笔的关联，用暗语向阿力传递只有他懂的信息，同时维持表面专注。,阿条要克服在同事齐坐的会议室里搞小动作的紧张，以及王总偶尔扫来的目光风险；阿力收到信息后能否不露破绽地回应。,阿力用旋转笔帽的方向回应了暗语，证明他不但懂了还愿意配合游戏，但动作微小的不自然被小菲多看了一眼。,心跳在发送‘讯号’时加快，表面却一脸严肃记笔记；收到回应时手心微汗，混合着偷情般的快感和对暴露的微妙恐惧，偷偷扫了小菲一眼又迅速收回。,2026-07-01T14:35:31.909+00:00,2026-07-01T14:35:31.909+00:00
cmr26gwjp04hnv16zp3gbnxcl,cmr26gwjm04hkv16zt3lgscet,3,打印机边的密语,借打印文件的独处片段，用提前约定的物品摆放法传递下一步计划，同时防备同事突然出现。,物理空间上的近距离接触可能打破‘表演距离’，李晴随时可能来取文件，两人必须在极短窗口完成信息交换并恢复常态。,阿条放下一枚圆形针作为信号，阿力拿走并留下草莓糖纸（天台信物的重复），暗示他记得暗语约定且愿意延续象征，但对明天的食堂暗语未置一词。,指尖碰触整理好的纸张时短暂相触，像微弱电流；听到脚步声立即分开，转身对李晴微笑，心跳未平时已拿出‘同事阿条’的完美面具，暗自得意于自己的演技。,2026-07-01T14:35:31.909+00:00,2026-07-01T14:35:31.909+00:00
cmr26gwjp04hov16zn2vyh0e2,cmr26gwjm04hkv16zt3lgscet,4,邻座交谈的障眼法,李晴找阿条聊闲事时，阿力用工作群名义发来一条暗语消息，阿条借助和李晴的对话打掩护，用回复工作问题的方式嵌入暗语。,一边要应付李晴的闲聊不露出分心，一边要解读阿力的暗语并构思嵌码回复，口与手的高难度双轨操作。,阿力的暗语透露出对明天食堂游戏的轻微抗拒（例如一个表示‘危险’的约定符号），这让阿条意识到他并非完全享受游戏，埋下细微不安。,一边对李晴的话机械点头，一边用眼角余光飞速解码，心里翻腾着‘他怕了？还是嫌麻烦？’的猜疑，但即刻用职业笑容掩盖，回复时故意打错一个字，等待他的纠正，像在测试他的投入底线。,2026-07-01T14:35:31.909+00:00,2026-07-01T14:35:31.909+00:00
cmr26gwjp04hpv16ztuywy624,cmr26gwjm04hkv16zt3lgscet,5,收尾与明天的预告,下班前通过最后一条暗语确认明天食堂游戏的进行，同时陈默发来问候，阿条简短回复对比出她对阿力关系的投入。,阿条想推动明日计划，但阿力回复含糊；陈默的再次联系触动了阿条对过去轻松关系的怀念，与此刻需要步步为营的秘密恋形成反差，但她随后更坚定选择当下的刺激。,阿力最终同意了明天的暗语接头，但附加了一个他自己的条件（例如要求只能隔一个座位而不是两个），暗示他想调整规则；陈默信息被冷淡处理，象征阿条主动割断部分过往。,成功定下明天游戏的满足感，夹杂对阿力要求的不解和轻微斗气；回复陈默时短暂的恍惚被压下去，抬头看向阿力工位的后脑勺，对自己说：我已经在一条更刺激的路上了。然后收拾包离开，脚步带着掌控者的轻快。,2026-07-01T14:35:31.909+00:00,2026-07-01T14:35:31.909+00:00
cmr26gzqp04hqv16zygst43j7,cmr268y3h04apv16z1un8z0jg,1,天台赴约,阿条独自来到天台，与阿力在暮色中对峙，她打破沉默，表明要“谈规则”，确立自己不再被动等待的姿态。,天台空寂的环境放大暴露风险（随时可能有人上来），阿条必须克服紧张和犹豫，主动开口；阿力则用等待和沉默施加情感张力，两人博弈在视线与呼吸间展开。,阿条发现，当她不再等待阿力主导，率先抛出话题时，阿力的轻松掌控感出现一丝裂缝，他下意识站直身体，神情严肃起来。,紧张、决意、隐约的掌控快感。,2026-07-01T14:35:36.049+00:00,2026-07-01T14:35:36.049+00:00
