id,novelId,resourceId,chapterId,chapterOrder,eventType,actorCharacterId,fromHolderCharacterId,toHolderCharacterId,summary,evidenceJson,createdAt
cmr26ff1104euv16zbkquekqu,cmr23pgks000fv16zpwg1ms38,cmr26ff0r04etv16ztaqtz0eh,cmr24zob701rjv16zoa3pmbkg,3,introduced,cmr23zj4j004tv16zlc1ewt6u,,cmr23zj4j004tv16zlc1ewt6u,为后续天衣无缝的偷情沟通提供工具。,"[""阿条在手机备忘录中打字：暗号库待建。第一条候选:苏打水。""]",2026-07-01T14:34:22.549+00:00
cmr26ffvy04fzv16z642mjhvk,cmr23pgks000fv16zpwg1ms38,cmr26ffvv04fyv16zkvk68rwy,cmr24zob701rjv16zoa3pmbkg,3,introduced,cmr23zj4j004tv16zlc1ewt6u,,cmr23zj4j004tv16zlc1ewt6u,糖纸可能在未来作为回忆触发物或暗语元素出现。,"[""阿条把糖纸仔细叠好，揣进外套口袋。""]",2026-07-01T14:34:23.662+00:00
cmr26y8ts04qev16ztib7krj2,cmr23pgks000fv16zpwg1ms38,cmr26ff0r04etv16ztaqtz0eh,cmr24zobb01rlv16z1chjyonq,5,revealed,cmr23zj4j004tv16zlc1ewt6u,,cmr23zj4j004tv16zlc1ewt6u,为角色提供更丰富的暗语工具，提升应对突发状况的能力。,"[""阿条在备忘录中写下‘芒果代表危险信号，菠萝包的多义性已被实际调用。’""]",2026-07-01T14:49:00.976+00:00
cmr28l0ml059fv16z3vgr9ucw,cmr23pgks000fv16zpwg1ms38,cmr28l0mh059ev16zy7xuj8p6,cmr24zoaz01rhv16zmcjv20hl,1,introduced,cmr23zj4j004tv16zlc1ewt6u,,cmr23zj4j004tv16zlc1ewt6u,为禁忌关系增加道德压力，后续违反或突破时将产生张力。,"[""阿条内心回想：‘陈默走的时候怎么说的，他让我们别搞办公室这套。’""]",2026-07-01T15:34:43.052+00:00
cmr33awc50be4v16zozkluzaz,cmr23pgks000fv16zpwg1ms38,cmr33awby0be3v16zzkseh03n,cmr24zocf01s1v16zorowoe4i,21,introduced,cmr23zj4j004tv16zlc1ewt6u,,cmr23zj4j004tv16zlc1ewt6u,可能作为情感信物，在后续切断关系时被取下或损坏。,"[""她用拇指和食指捻了捻左手腕上红绳的绳结。银坠子在手腕内侧晃了两下。""]",2026-07-02T05:54:39.029+00:00
cmr33lp2w0bh9v16zjtcoep4k,cmr23pgks000fv16zpwg1ms38,cmr33lp2t0bh8v16zc062rarf,cmr24zoch01s2v16zud5yqsvh,22,introduced,cmr23zj4j004tv16zlc1ewt6u,,cmr23zj4j004tv16zlc1ewt6u,为后续调查提供事实依据。,"[""阿条在备忘录打字记录，截图保存归属地查询结果。""]",2026-07-02T06:03:02.839+00:00
cmr33u1wh0bjnv16z9ipvlhba,cmr23pgks000fv16zpwg1ms38,cmr33u1wd0bjmv16znzkaikwn,cmr24zocj01s3v16zyc692fv8,23,introduced,cmr23zj4j004tv16zlc1ewt6u,,cmr23zj4j004tv16zlc1ewt6u,可用于对比证明阿力手写号码的事实。,"[""安排表上黑色水笔手写号码，笔迹特征与阿力相符，阿条圈出。""]",2026-07-02T06:09:32.705+00:00
cmr33u1wr0bjqv16zzdqxto5q,cmr23pgks000fv16zpwg1ms38,cmr33u1wp0bjpv16zchjdm8wp,cmr24zocj01s3v16zyc692fv8,23,introduced,cmr23zj4j004tv16zlc1ewt6u,,cmr23zj4j004tv16zlc1ewt6u,向阿力宣示她记下号码，但未命名，施加心理压力。,"[""阿条当着阿力面输入号码并展示。""]",2026-07-02T06:09:32.715+00:00
cmr33u1x40bjtv16zt23h4oqp,cmr23pgks000fv16zpwg1ms38,cmr33u1x00bjsv16z3fyzw76c,cmr24zocj01s3v16zyc692fv8,23,revealed,cmr23zj4j004tv16zlc1ewt6u,,cmr23zj4j004tv16zlc1ewt6u,将笔迹确认纳入证据记录。,"[""她删掉草稿后重新输入“是他写的”""]",2026-07-02T06:09:32.727+00:00
cmr35y9r00c4ev16zdg7ubi1e,cmr23pgks000fv16zpwg1ms38,cmr33awby0be3v16zzkseh03n,cmr24zocy01sbv16zja8tq08e,31,stale_marked,cmr23zj4j004tv16zlc1ewt6u,,cmr23zj4j004tv16zlc1ewt6u,标志阿条对阿力的情感约束彻底失效，为彻底切割铺垫。,"[""她低头看手腕只见一圈印子，说明当天未佩戴。""]",2026-07-02T07:08:48.732+00:00
