id,snapshotId,characterId,currentGoal,emotion,stressLevel,secretExposure,knownFactsJson,misbeliefsJson,summary,createdAt,updatedAt
cmr269sr504b4v16z0z765jqo,cmr269sr004b3v16zvdhpsups,cmr23zj4j004tv16zlc1ewt6u,决定如何回应阿力的夜晚邀约,兴奋、紧张,65,读者知悉她与阿力的秘密互动，同事未察觉,"[""阿力在走廊夸她“演得不错”"",""阿力发出夜晚邀约"",""小菲在试探她和阿力的关系"",""陈默发来问候但她感到疏离""]",,阿条成功扮演陌生人后获得阿力认可，开始享受秘密游戏刺激，但面对邀约时仍紧张迟疑。,2026-07-01T14:30:00.401+00:00,2026-07-01T14:30:00.401+00:00
cmr269sr504b5v16zkmvykzbv,cmr269sr004b3v16zvdhpsups,cmr23zj4y004uv16zh1dm72nm,维持暧昧关系并推进亲密程度,轻松、掌控,30,读者知道他主动邀约，但真实态度不明,"[""阿条配合他完成陌生演技"",""小菲正在怀疑他们"",""阿条享受这场秘密游戏""]",,阿力继续主导暧昧节奏，用暗语和邀约巩固同谋关系，表面温和但目的不明。,2026-07-01T14:30:00.401+00:00,2026-07-01T14:30:00.401+00:00
cmr269sr504b6v16zza34ha7c,cmr269sr004b3v16zvdhpsups,cmr23zj5u0052v16zbgy6zbi1,打探阿条与阿力的真实关系,怀疑、好奇,20,读者知道她怀疑两人，但她无证据,"[""阿力最近经常下楼吃饭"",""阿条声称对阿力没怎么注意""]","[""可能怀疑两人有秘密，但无法证实""]",小菲尝试试探阿条，被敷衍后虽未放弃，但暂被蒙混。,2026-07-01T14:30:00.401+00:00,2026-07-01T14:30:00.401+00:00
cmr26ffty04fdv16zc692zxbk,cmr26feyn04ebv16zh84ifjuv,cmr23zj4j004tv16zlc1ewt6u,执行秘密恋爱规则，准备明日食堂暗语，在同事眼皮下继续游戏。,紧张但兴奋，掌控感中夹杂甜蜜。,50,读者知道她与阿力确立秘密关系并制定了规则。,"[""阿力同意她制定的全部规则和附加条件。"",""明日中午食堂阿力将坐在对面隔一个座位。"",""阿力要求她坦诚，别让他猜。"",""自己保留了草莓糖纸。""]",,阿条主动制定规则，从被动卷入者变为关系掌控者，但依然保持对暴露风险的警觉。,2026-07-01T14:34:23.590+00:00,2026-07-01T14:34:23.590+00:00
cmr26fftz04fev16zeukpubcy,cmr26feyn04ebv16zh84ifjuv,cmr23zj4y004uv16zh1dm72nm,遵守阿条的规则，在隐蔽中推进关系。,放松，隐约满意，但真实态度仍有保留。,40,读者知道他与阿条确立秘密关系并接受规则。,"[""阿条制定了秘密恋爱规则。"",""明日食堂计划。"",""需要不让她猜。""]",,阿力接受了阿条的规则，请求坦诚，关系进入明确但受约束的地下阶段。,2026-07-01T14:34:23.590+00:00,2026-07-01T14:34:23.590+00:00
cmr26pscj04mpv16zodd18f3l,cmr26psce04mov16zi89zlpdj,cmr23zj4j004tv16zlc1ewt6u,成功测试暗语系统，为明日食堂暗语游戏确认规则,刺激、期待，略带紧张但掌控感强,55,与阿力保持秘密沟通，在同事面前表演疏离,"[""暗语系统已建立并加密，新增菠萝包和明天的菜谱"",""食堂规则包括椅子偏移"",""阿力接受规则但会主动调整""]",,阿条从被动享受转为规则制定者，初尝主导禁忌游戏的甜蜜刺激，心理防线彻底转向接纳。,2026-07-01T14:42:26.371+00:00,2026-07-01T14:42:26.371+00:00
cmr26pscj04mqv16znnmvs7dd,cmr26psce04mov16zi89zlpdj,cmr23zj4y004uv16zh1dm72nm,配合阿条的规则，同时通过细微调整保持自身主动性,轻松、配合，但态度仍有所保留,40,成为阿条的秘密恋人，共同维护表演,"[""暗语系统全部条目"",""食堂规则及偏移许可"",""阿条已完全投入游戏""]",,阿力接受阿条的主导，但用加暗语、要求偏移等方式为自己留出空间，真实态度依旧模糊。,2026-07-01T14:42:26.371+00:00,2026-07-01T14:42:26.371+00:00
cmr26pscj04mrv16zs4kpxzwc,cmr26psce04mov16zi89zlpdj,cmr23zj5u0052v16zbgy6zbi1,维持日常工作与社交，对阿力和阿条的关系开始留意但未深入,好奇、隐约察觉异样但未警惕,30,不知道两人秘密关系,"[""阿力近期常独自行动"",""阿条在食堂主动换座到阿力附近"",""两人在打印室曾单独相处""]","[""可能认为阿力和阿条只是普通同事""]",小菲捕捉到两人互动的微妙痕迹，但尚未形成怀疑，为后续升级埋下基础。,2026-07-01T14:42:26.371+00:00,2026-07-01T14:42:26.371+00:00
cmr26y8r404pqv16zk13sw9n0,cmr26y8qz04ppv16zakxqwzrs,cmr23zj4j004tv16zlc1ewt6u,成功完成食堂暗语游戏，在公开场合完成全套表演，确认自己能在阿力靠近时保持稳定。,刺激、兴奋、后怕、期待,40,未被同事发现，但小菲开始留意。,"[""暗语系统实战测试通过，新增编码芒果=危险，菠萝包多义性。"",""阿力配合默契，主动增加暗语规则。"",""食堂暗语游戏规则确认：椅子偏移三厘米。"",""小菲询问阿力手链，阿力未透露实情。""]",,阿条在茶水间脱险后体验到刺激上瘾，为明日食堂暗语制定新目标，心理防线彻底转向主动寻求冒险。,2026-07-01T14:49:00.880+00:00,2026-07-01T14:49:00.880+00:00
cmr26y8r504prv16zmbl9m9gb,cmr26y8qz04ppv16zakxqwzrs,cmr23zj4y004uv16zh1dm72nm,配合阿条完成测试，通过主动添加暗语规则保持自身主动性。,冷静、默契、保留,20,同阿条，未暴露。,"[""暗语测试成功，新增椅子偏移规则。"",""小菲开始留意手链，已模糊应对。""]",,阿力在脱险中配合完美，并通过主动加量规则暗示主导权，真实态度仍模糊。,2026-07-01T14:49:00.880+00:00,2026-07-01T14:49:00.880+00:00
cmr26y8r504psv16zjfbsn9bl,cmr26y8qz04ppv16zakxqwzrs,cmr23zj5u0052v16zbgy6zbi1,调查阿力手链来源，留意阿条与阿力的互动。,好奇、试探,10,仅怀疑，不知内情。,"[""阿力手链是朋友送的，不透露细节。"",""阿条和阿力在茶水间独自相处，但行为表面正常。""]",,小菲开始主动试探二人关系，但未得到决定性证据。,2026-07-01T14:49:00.880+00:00,2026-07-01T14:49:00.880+00:00
cmr274qy004slv16z6s7gpw5z,cmr274qxw04skv16zz42ick5d,cmr23zj4j004tv16zlc1ewt6u,在暴露之前尽情探索与阿力的秘密游戏，测试自己的界限,兴奋、甜蜜与不安交织,70,读者知道她主动沉溺，阿力可能部分察觉,"[""阿力同样在享受这场游戏"",""自己主动打破规则但没有被拒绝""]","[""认为游戏暂时不会失控""]",阿条完成心理跨越，选择主动沉溺，但内心仍有暴露阴影。,2026-07-01T14:54:04.392+00:00,2026-07-01T14:54:04.392+00:00
cmr274qy104smv16zt6whapkc,cmr274qxw04skv16zz42ick5d,cmr23zj4y004uv16zh1dm72nm,保持默契，观察阿条的变化，不主动推进,沉稳愉悦,50,读者无法直接知道他内心，但通过消息确认他在配合享受,"[""阿条今晚的行为暗示她投入更深""]",,阿力通过接住阿条的越界消息，暗示自己也在玩同一场游戏，但真实态度依然模糊。,2026-07-01T14:54:04.392+00:00,2026-07-01T14:54:04.392+00:00
cmr27col104w7v16z93g6mh1r,cmr27cokx04w6v16z86qss28o,cmr23zj4j004tv16zlc1ewt6u,通过刻意疏远和制造第三方场景，测试阿力的反应，确认自己在他心中的位置,嫉妒、不甘、占有欲,70,读者知道她嫉妒试探，但同事未察觉,"[""阿力对小菲的关心保持温和但模糊的边界"",""她用李响刺激阿力后，阿力用“今天稳”回应"",""小菲对阿力有好感并主动接近""]",,阿条从主动沉溺转为嫉妒试探，决心在团建中继续冷处理，以保护自尊和测试阿力。,2026-07-01T15:00:14.581+00:00,2026-07-01T15:00:14.581+00:00
cmr27col104w8v16z6vd95ya7,cmr27cokx04w6v16z86qss28o,cmr23zj5u0052v16zbgy6zbi1,接近阿力，试探其态度，增强个人好感度,积极、好奇,30,无,"[""阿力手链是旧物，并非新换"",""阿力对她的关心保持礼貌距离""]",,小菲不再仅调查手链，转而主动关心阿力，好感表现更明显。,2026-07-01T15:00:14.581+00:00,2026-07-01T15:00:14.581+00:00
cmr27yo1u04yov16ze5jm1fms,cmr27yo1p04ynv16zhjb497sh,cmr23zj4j004tv16zlc1ewt6u,在维持表面距离的同时，试图消化自己正在失去对游戏控制的疲惫感。,孤独、疲惫、警惕,78,读者知晓她已经感到强烈负担，但同事尚不察觉,"[""小菲对阿力的追求已从试探变为明显主动"",""阿力在团建中通过‘稳不稳’的暗语和攀岩时的对视回应了她的存在"",""陈默邀约下周六聚餐""]",,阿条从享受刺激转为负担，首次意识到这场游戏可能长时间持续且令人疲惫。,2026-07-01T15:17:20.322+00:00,2026-07-01T15:17:20.322+00:00
